cvsin_type_2
Start(mV):	7.670000e+02
End(mV):	7.670000e+02
Max(mV):	7.750000e+02
Min(mV):	7.050000e+02
Freq1(Hz):	6.151199e+02
Amp1(mV):	2.000000e+02
Phase1(deg):	2.750000e+02
Freq2(Hz):	4.768372e+00
Amp2(mV):	0.000000e+00
Phase2(deg):	0.000000e+00
Freq3(Hz):	4.768372e+00
Amp3(mV):	0.000000e+00
Phase3(deg):	0.000000e+00
Freq4(Hz):	4.768372e+00
Amp4(mV):	0.000000e+00
Phase4(deg):	0.000000e+00
Freq5(Hz):	4.768372e+00
Amp5(mV):	0.000000e+00
Phase5(deg):	0.000000e+00
Freq6(Hz):	4.768372e+00
Amp6(mV):	0.000000e+00
Phase6(deg):	0.000000e+00
Freq7(Hz):	4.768372e+00
Amp7(mV):	0.000000e+00
Phase7(deg):	0.000000e+00
Freq8(Hz):	4.768372e+00
Amp8(mV):	0.000000e+00
Phase8(deg):	0.000000e+00
Type(0-4):	4
Rate(mV/s):	6.675720e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	5.670000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
4.997147e-01	3.788551e-04	0.000000e+00
6.591219e-01	2.093940e-05	2.560000e-05
5.837395e-01	2.367482e-05	5.120000e-05
6.371460e-01	1.316727e-04	7.680000e-05
6.180539e-01	2.897727e-04	1.024000e-04
6.703835e-01	3.641244e-04	1.280000e-04
6.625262e-01	3.557978e-04	1.536000e-04
7.035527e-01	3.631040e-04	1.792000e-04
6.997831e-01	3.569680e-04	2.048000e-04
7.397543e-01	3.619512e-04	2.304000e-04
7.389616e-01	3.576926e-04	2.560000e-04
7.771602e-01	3.612917e-04	2.816000e-04
7.794502e-01	3.581523e-04	3.072000e-04
8.148662e-01	3.608486e-04	3.328000e-04
8.193412e-01	3.584813e-04	3.584000e-04
8.509943e-01	3.605165e-04	3.840000e-04
8.566117e-01	3.587394e-04	4.096000e-04
8.843299e-01	3.602468e-04	4.352000e-04
8.899913e-01	3.589575e-04	4.608000e-04
9.135807e-01	3.600124e-04	4.864000e-04
9.182751e-01	3.591547e-04	5.120000e-04
9.376551e-01	3.597954e-04	5.376000e-04
9.400871e-01	3.593453e-04	5.632000e-04
9.554145e-01	3.595815e-04	5.888000e-04
9.552064e-01	3.595425e-04	6.144000e-04
9.660376e-01	3.593558e-04	6.400000e-04
