cvsin_type_2
Start(mV):	7.670000e+02
End(mV):	7.670000e+02
Max(mV):	7.750000e+02
Min(mV):	7.050000e+02
Freq1(Hz):	1.347065e+02
Amp1(mV):	2.000000e+02
Phase1(deg):	2.750000e+02
Freq2(Hz):	2.384186e+00
Amp2(mV):	0.000000e+00
Phase2(deg):	0.000000e+00
Freq3(Hz):	2.384186e+00
Amp3(mV):	0.000000e+00
Phase3(deg):	0.000000e+00
Freq4(Hz):	2.384186e+00
Amp4(mV):	0.000000e+00
Phase4(deg):	0.000000e+00
Freq5(Hz):	2.384186e+00
Amp5(mV):	0.000000e+00
Phase5(deg):	0.000000e+00
Freq6(Hz):	2.384186e+00
Amp6(mV):	0.000000e+00
Phase6(deg):	0.000000e+00
Freq7(Hz):	2.384186e+00
Amp7(mV):	0.000000e+00
Phase7(deg):	0.000000e+00
Freq8(Hz):	2.384186e+00
Amp8(mV):	0.000000e+00
Phase8(deg):	0.000000e+00
Type(0-4):	4
Rate(mV/s):	1.668930e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	5.670000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
4.908594e-01	2.981604e-04	0.000000e+00
6.325555e-01	-1.524939e-04	2.560000e-05
5.471361e-01	-1.870436e-04	5.120000e-05
5.854348e-01	-1.002469e-04	7.680000e-05
5.539171e-01	5.856746e-05	1.024000e-04
5.925270e-01	1.159426e-04	1.280000e-04
5.707668e-01	7.140276e-05	1.536000e-04
5.956982e-01	2.747080e-05	1.792000e-04
5.721125e-01	-1.358148e-05	2.048000e-04
5.922343e-01	1.372846e-05	2.304000e-04
5.752057e-01	2.431268e-05	2.560000e-04
5.947704e-01	5.047949e-05	2.816000e-04
5.819466e-01	4.319217e-05	3.072000e-04
5.979550e-01	4.290399e-05	3.328000e-04
5.868116e-01	3.337965e-05	3.584000e-04
5.999609e-01	3.738670e-05	3.840000e-04
5.914224e-01	4.119629e-05	4.096000e-04
6.031997e-01	4.614459e-05	4.352000e-04
5.968770e-01	5.163666e-05	4.608000e-04
6.075364e-01	5.052664e-05	4.864000e-04
6.022202e-01	5.302424e-05	5.120000e-04
6.118954e-01	5.274609e-05	5.376000e-04
6.074505e-01	5.581342e-05	5.632000e-04
6.167598e-01	5.821141e-05	5.888000e-04
6.131030e-01	6.239588e-05	6.144000e-04
6.221246e-01	6.474835e-05	6.400000e-04
6.190283e-01	6.610833e-05	6.656000e-04
6.275473e-01	6.764178e-05	6.912000e-04
6.251428e-01	7.115539e-05	7.168000e-04
6.333348e-01	7.406443e-05	7.424000e-04
6.314829e-01	7.681522e-05	7.680000e-04
6.395236e-01	7.935512e-05	7.936000e-04
6.380802e-01	8.291683e-05	8.192000e-04
6.458689e-01	8.531648e-05	8.448000e-04
6.448480e-01	8.943885e-05	8.704000e-04
6.525732e-01	9.198950e-05	8.960000e-04
6.518854e-01	9.460411e-05	9.216000e-04
6.592982e-01	9.870480e-05	9.472000e-04
6.590068e-01	1.040285e-04	9.728000e-04
6.664116e-01	1.081832e-04	9.984000e-04
6.665671e-01	1.117526e-04	1.024000e-03
6.736265e-01	1.154873e-04	1.049600e-03
6.739530e-01	1.216147e-04	1.075200e-03
6.811029e-01	1.269158e-04	1.100800e-03
6.817027e-01	1.325505e-04	1.126400e-03
6.886613e-01	1.401429e-04	1.152000e-03
6.896044e-01	1.460694e-04	1.177600e-03
6.965449e-01	1.525084e-04	1.203200e-03
6.974636e-01	1.622013e-04	1.228800e-03
7.042927e-01	1.700625e-04	1.254400e-03
7.055497e-01	1.798561e-04	1.280000e-03
7.122907e-01	1.890089e-04	1.305600e-03
7.136822e-01	2.011430e-04	1.331200e-03
7.204031e-01	2.137652e-04	1.356800e-03
7.219065e-01	2.265916e-04	1.382400e-03
7.286137e-01	2.401536e-04	1.408000e-03
7.301793e-01	2.548349e-04	1.433600e-03
7.367885e-01	2.705932e-04	1.459200e-03
7.384720e-01	2.866733e-04	1.484800e-03
7.450016e-01	3.042617e-04	1.510400e-03
7.470781e-01	3.225520e-04	1.536000e-03
7.531993e-01	3.427980e-04	1.561600e-03
7.560941e-01	3.583571e-04	1.587200e-03
7.630859e-01	3.600009e-04	1.612800e-03
7.652485e-01	3.595654e-04	1.638400e-03
7.716426e-01	3.596955e-04	1.664000e-03
7.737511e-01	3.596230e-04	1.689600e-03
7.800707e-01	3.596344e-04	1.715200e-03
7.825258e-01	3.596313e-04	1.740800e-03
7.886312e-01	3.596066e-04	1.766400e-03
7.910029e-01	3.596304e-04	1.792000e-03
7.971155e-01	3.595896e-04	1.817600e-03
7.995797e-01	3.596268e-04	1.843200e-03
8.053409e-01	3.595776e-04	1.868800e-03
8.079526e-01	3.596224e-04	1.894400e-03
8.138528e-01	3.595682e-04	1.920000e-03
8.163671e-01	3.596178e-04	1.945600e-03
8.221264e-01	3.595605e-04	1.971200e-03
8.246042e-01	3.596131e-04	1.996800e-03
8.304496e-01	3.595540e-04	2.022400e-03
8.327963e-01	3.596085e-04	2.048000e-03
8.384057e-01	3.595483e-04	2.073600e-03
8.408596e-01	3.596041e-04	2.099200e-03
8.462474e-01	3.595431e-04	2.124800e-03
8.488744e-01	3.595998e-04	2.150400e-03
8.540576e-01	3.595385e-04	2.176000e-03
8.565489e-01	3.595956e-04	2.201600e-03
8.618225e-01	3.595342e-04	2.227200e-03
8.642156e-01	3.595915e-04	2.252800e-03
8.692770e-01	3.595302e-04	2.278400e-03
8.716340e-01	3.595876e-04	2.304000e-03
8.765297e-01	3.595264e-04	2.329600e-03
8.787786e-01	3.595838e-04	2.355200e-03
8.836016e-01	3.595229e-04	2.380800e-03
8.859164e-01	3.595801e-04	2.406400e-03
8.905283e-01	3.595194e-04	2.432000e-03
8.926122e-01	3.595765e-04	2.457600e-03
8.971093e-01	3.595162e-04	2.483200e-03
8.992609e-01	3.595729e-04	2.508800e-03
9.035164e-01	3.595130e-04	2.534400e-03
9.055322e-01	3.595695e-04	2.560000e-03
9.097528e-01	3.595099e-04	2.585600e-03
9.116039e-01	3.595661e-04	2.611200e-03
9.156683e-01	3.595068e-04	2.636800e-03
9.174975e-01	3.595628e-04	2.662400e-03
9.213135e-01	3.595038e-04	2.688000e-03
9.228901e-01	3.595596e-04	2.713600e-03
9.265367e-01	3.595008e-04	2.739200e-03
9.281865e-01	3.595564e-04	2.764800e-03
9.316158e-01	3.594979e-04	2.790400e-03
9.330523e-01	3.595533e-04	2.816000e-03
9.364026e-01	3.594949e-04	2.841600e-03
9.376664e-01	3.595503e-04	2.867200e-03
9.407089e-01	3.594919e-04	2.892800e-03
9.419587e-01	3.595473e-04	2.918400e-03
9.448853e-01	3.594889e-04	2.944000e-03
9.458699e-01	3.595444e-04	2.969600e-03
9.487675e-01	3.594859e-04	2.995200e-03
9.494602e-01	3.595415e-04	3.020800e-03
9.520184e-01	3.594827e-04	3.046400e-03
9.528213e-01	3.595387e-04	3.072000e-03
9.551066e-01	3.594795e-04	3.097600e-03
9.556828e-01	3.595360e-04	3.123200e-03
9.577657e-01	3.594762e-04	3.148800e-03
9.583393e-01	3.595334e-04	3.174400e-03
9.602422e-01	3.594728e-04	3.200000e-03
9.604627e-01	3.595308e-04	3.225600e-03
9.622642e-01	3.594691e-04	3.251200e-03
9.623300e-01	3.595284e-04	3.276800e-03
9.638916e-01	3.594653e-04	3.302400e-03
9.638264e-01	3.595261e-04	3.328000e-03
9.651682e-01	3.594612e-04	3.353600e-03
9.649837e-01	3.595240e-04	3.379200e-03
9.661101e-01	3.594568e-04	3.404800e-03
9.656909e-01	3.595222e-04	3.430400e-03
9.666194e-01	3.594519e-04	3.456000e-03
9.660251e-01	3.595209e-04	3.481600e-03
9.667062e-01	3.594463e-04	3.507200e-03
9.661144e-01	3.595202e-04	3.532800e-03
9.666251e-01	3.594399e-04	3.558400e-03
9.657305e-01	3.595205e-04	3.584000e-03
9.660600e-01	3.594320e-04	3.609600e-03
9.650069e-01	3.595227e-04	3.635200e-03
9.649794e-01	3.594217e-04	3.660800e-03
9.638458e-01	3.595283e-04	3.686400e-03
9.637653e-01	3.594066e-04	3.712000e-03
9.623141e-01	3.595371e-04	3.737600e-03
9.621336e-01	3.593988e-04	3.763200e-03
9.608088e-01	3.583677e-04	3.788800e-03
9.607221e-01	3.507736e-04	3.814400e-03
9.589183e-01	3.405269e-04	3.840000e-03
9.582552e-01	3.319305e-04	3.865600e-03
9.563954e-01	3.225237e-04	3.891200e-03
9.555749e-01	3.119519e-04	3.916800e-03
9.534470e-01	3.029422e-04	3.942400e-03
9.523562e-01	2.927643e-04	3.968000e-03
9.501269e-01	2.851971e-04	3.993600e-03
9.489664e-01	2.761756e-04	4.019200e-03
9.465680e-01	2.664660e-04	4.044800e-03
9.451778e-01	2.572980e-04	4.070400e-03
9.426813e-01	2.484953e-04	4.096000e-03
9.411666e-01	2.402334e-04	4.121600e-03
9.384037e-01	2.310198e-04	4.147200e-03
9.367312e-01	2.229903e-04	4.172800e-03
9.338151e-01	2.141442e-04	4.198400e-03
9.319206e-01	2.055302e-04	4.224000e-03
9.289533e-01	1.984468e-04	4.249600e-03
9.268771e-01	1.903057e-04	4.275200e-03
9.237427e-01	1.818898e-04	4.300800e-03
9.215422e-01	1.739662e-04	4.326400e-03
9.182138e-01	1.667769e-04	4.352000e-03
9.158401e-01	1.598860e-04	4.377600e-03
9.125152e-01	1.529873e-04	4.403200e-03
9.099711e-01	1.457699e-04	4.428800e-03
9.064091e-01	1.380824e-04	4.454400e-03
9.037592e-01	1.310766e-04	4.480000e-03
9.001585e-01	1.245667e-04	4.505600e-03
8.973448e-01	1.183324e-04	4.531200e-03
8.936251e-01	1.114352e-04	4.556800e-03
8.906013e-01	1.038996e-04	4.582400e-03
8.867646e-01	9.718444e-05	4.608000e-03
8.836952e-01	9.178912e-05	4.633600e-03
8.797873e-01	8.504810e-05	4.659200e-03
8.766182e-01	7.829308e-05	4.684800e-03
