E/V        I/A.1,E/V        I/A.2
-0.15,5.0131E-07
-0.148,5.09143E-07
-0.146,5.14518E-07
-0.144,5.19893E-07
-0.142,5.2404E-07
-0.14,5.28647E-07
-0.138,5.33562E-07
-0.136,5.37401E-07
-0.134,5.41855E-07
-0.132,5.46156E-07
-0.13,5.49841E-07
-0.128,5.53374E-07
-0.126,5.57828E-07
-0.124,5.61974E-07
-0.122,5.65814E-07
-0.12,5.6996E-07
-0.118,5.73493E-07
-0.116,5.77179E-07
-0.114,5.81633E-07
-0.112,5.84858E-07
-0.11,5.88237E-07
-0.108,5.92537E-07
-0.106,5.95762E-07
-0.104,5.99294E-07
-0.102,6.03441E-07
-0.1,6.06513E-07
-0.098,6.10045E-07
-0.096,6.14192E-07
-0.094,6.1711E-07
-0.092,6.20642E-07
-0.09,6.24328E-07
-0.088,6.27246E-07
-0.086,6.30778E-07
-0.084,6.34618E-07
-0.082,6.37536E-07
-0.08,6.40915E-07
-0.078,6.44908E-07
-0.076,6.47672E-07
-0.074,6.51205E-07
-0.072,6.55044E-07
-0.07,6.57808E-07
-0.068,6.61187E-07
-0.066,6.64873E-07
-0.064,6.67791E-07
-0.062,6.71016E-07
-0.06,6.74856E-07
-0.058,6.77467E-07
-0.056,6.80846E-07
-0.054,6.84224E-07
-0.052,6.87296E-07
-0.05,6.90675E-07
-0.048,6.939E-07
-0.046,6.97125E-07
-0.044,7.0035E-07
-0.042,7.03268E-07
-0.04,7.06493E-07
-0.038,7.09872E-07
-0.036,7.12637E-07
-0.034,7.16015E-07
-0.032,7.19241E-07
-0.03,7.22005E-07
-0.028,7.25537E-07
-0.026,7.28916E-07
-0.024,7.31373E-07
-0.022,7.35213E-07
-0.02,7.38592E-07
-0.018,7.40742E-07
-0.016,7.44889E-07
-0.014,7.48114E-07
-0.012,7.50264E-07
-0.01,7.54257E-07
-0.008,7.57482E-07
-0.006,7.59479E-07
-0.004,7.63933E-07
-0.002,7.67158E-07
3.11708E-18,7.69154E-07
0.002,7.73454E-07
0.004,7.76526E-07
0.006,7.78523E-07
0.008,7.82362E-07
0.01,7.85587E-07
0.012,7.87891E-07
0.014,7.91731E-07
0.016,7.94802E-07
0.018,7.97106E-07
0.02,8.01253E-07
0.022,8.04171E-07
0.024,8.06628E-07
0.026,8.10621E-07
0.028,8.13385E-07
0.03,8.15996E-07
0.032,8.19836E-07
0.034,8.22754E-07
0.036,8.25365E-07
0.038,8.29051E-07
0.04,8.32122E-07
0.042,8.34733E-07
0.044,8.38419E-07
0.046,8.41491E-07
0.048,8.44255E-07
0.05,8.47941E-07
0.052,8.51013E-07
0.054,8.53623E-07
0.056,8.57156E-07
0.058,8.60074E-07
0.06,8.63145E-07
0.062,8.66678E-07
0.064,8.69442E-07
0.066,8.72667E-07
0.068,8.76046E-07
0.07,8.78811E-07
0.072,8.82189E-07
0.074,8.85261E-07
0.076,8.8864E-07
0.078,8.91711E-07
0.08,8.94629E-07
0.082,8.98162E-07
0.084,9.01387E-07
0.086,9.0538E-07
0.088,9.07684E-07
0.09,9.11216E-07
0.092,9.15056E-07
0.094,9.17513E-07
0.096,9.21045E-07
0.098,9.25038E-07
0.1,9.27188E-07
0.102,9.30874E-07
0.104,9.35021E-07
0.106,9.37325E-07
0.108,9.41011E-07
0.11,9.45157E-07
0.112,9.47461E-07
0.114,9.50993E-07
0.116,9.55601E-07
0.118,9.57751E-07
0.12,9.61283E-07
0.122,9.66505E-07
0.124,9.68041E-07
0.126,9.71573E-07
0.128,9.76795E-07
0.13,9.78484E-07
0.132,9.82631E-07
0.134,9.87853E-07
0.136,9.89542E-07
0.138,9.93382E-07
0.14,9.99064E-07
0.142,1.00075E-06
0.144,1.00413E-06
0.146,1.01028E-06
0.148,1.00659E-06
0.15,1.01719E-06
0.152,1.02164E-06
0.154,1.02272E-06
0.156,1.02609E-06
0.158,1.0327E-06
0.16,1.03347E-06
0.162,1.03746E-06
0.164,1.04498E-06
0.166,1.04514E-06
0.168,1.04913E-06
0.17,1.05666E-06
0.172,1.0562E-06
0.174,1.06065E-06
0.176,1.06818E-06
0.178,1.06818E-06
0.18,1.07232E-06
0.182,1.08062E-06
0.184,1.07954E-06
0.186,1.08461E-06
0.188,1.09275E-06
0.19,1.09198E-06
0.192,1.09628E-06
0.194,1.10365E-06
0.196,1.10335E-06
0.198,1.10841E-06
0.2,1.11548E-06
0.202,1.11563E-06
0.204,1.12131E-06
0.206,1.12884E-06
0.208,1.12715E-06
0.21,1.13345E-06
0.212,1.13805E-06
0.214,1.14082E-06
0.216,1.14497E-06
0.218,1.14819E-06
0.22,1.15311E-06
0.222,1.15756E-06
0.224,1.15956E-06
0.226,1.16539E-06
0.228,0.00000117
0.23,0.00000117
0.232,1.17737E-06
0.234,1.18152E-06
0.236,1.18014E-06
0.238,1.18935E-06
0.24,1.19258E-06
0.242,1.19058E-06
0.244,1.20041E-06
0.246,1.20394E-06
0.248,1.20179E-06
0.25,1.21131E-06
0.252,1.21592E-06
0.254,1.21193E-06
0.256,1.22252E-06
0.258,1.22606E-06
0.26,1.22176E-06
0.262,1.23389E-06
0.264,1.23573E-06
0.266,1.23235E-06
0.268,1.24356E-06
0.27,1.24679E-06
0.272,1.24218E-06
0.274,1.25339E-06
0.276,1.25646E-06
0.278,1.2517E-06
0.28,1.26245E-06
0.282,1.26476E-06
0.284,1.26123E-06
0.286,1.27182E-06
0.288,1.27382E-06
0.29,1.27136E-06
0.292,1.2795E-06
0.294,1.28288E-06
0.296,1.28027E-06
0.298,1.28826E-06
0.3,1.29179E-06
0.302,1.2881E-06
0.304,1.29578E-06
0.306,1.29732E-06
0.308,1.2967E-06
0.31,1.30315E-06
0.312,1.30438E-06
0.314,1.30469E-06
0.316,1.30991E-06
0.318,1.31145E-06
0.32,1.3116E-06
0.322,1.31636E-06
0.324,1.31759E-06
0.326,1.31851E-06
0.328,1.3225E-06
0.33,1.32327E-06
