E/V        I/A.1,E/V        I/A.2
-0.15,5.16515E-07
-0.148,5.24654E-07
-0.146,5.30797E-07
-0.144,5.34944E-07
-0.142,5.40166E-07
-0.14,5.44773E-07
-0.138,5.48613E-07
-0.136,5.53527E-07
-0.134,5.57674E-07
-0.132,5.61206E-07
-0.13,5.65967E-07
-0.128,5.6996E-07
-0.126,5.73493E-07
-0.124,5.77947E-07
-0.122,5.81633E-07
-0.12,5.85165E-07
-0.118,5.89465E-07
-0.116,5.92998E-07
-0.114,5.9653E-07
-0.112,6.00523E-07
-0.11,6.04209E-07
-0.108,6.07741E-07
-0.106,6.11581E-07
-0.104,6.1496E-07
-0.102,6.18492E-07
-0.1,6.22178E-07
-0.098,6.25403E-07
-0.096,6.28935E-07
-0.094,6.32468E-07
-0.092,6.35693E-07
-0.09,6.39379E-07
-0.088,6.42911E-07
-0.086,6.4629E-07
-0.084,6.49822E-07
-0.082,6.53201E-07
-0.08,6.5658E-07
-0.078,6.59959E-07
-0.076,6.63337E-07
-0.074,6.66563E-07
-0.072,6.69941E-07
-0.07,6.7332E-07
-0.068,6.76545E-07
-0.066,6.79924E-07
-0.064,6.83303E-07
-0.062,6.86682E-07
-0.06,6.89907E-07
-0.058,6.93132E-07
-0.056,6.96357E-07
-0.054,6.99582E-07
-0.052,7.02961E-07
-0.05,7.05879E-07
-0.048,7.09258E-07
-0.046,7.12637E-07
-0.044,7.15555E-07
-0.042,7.1878E-07
-0.04,7.22159E-07
-0.038,7.2523E-07
-0.036,7.28455E-07
-0.034,7.31681E-07
-0.032,7.34599E-07
-0.03,7.37824E-07
-0.028,7.41203E-07
-0.026,7.43967E-07
-0.024,7.47346E-07
-0.022,7.50571E-07
-0.02,7.53489E-07
-0.018,7.56561E-07
-0.016,7.60093E-07
-0.014,7.62857E-07
-0.012,7.65929E-07
-0.01,7.69461E-07
-0.008,7.72072E-07
-0.006,7.75144E-07
-0.004,7.78523E-07
-0.002,7.81287E-07
3.11708E-18,7.84359E-07
0.002,7.87737E-07
0.004,7.90502E-07
0.006,7.9342E-07
0.008,7.97106E-07
0.01,7.99717E-07
0.012,8.02788E-07
0.014,8.06321E-07
0.016,8.08932E-07
0.018,8.12003E-07
0.02,8.15536E-07
0.022,8.18146E-07
0.024,8.21064E-07
0.026,8.2475E-07
0.028,8.27361E-07
0.03,8.30279E-07
0.032,8.33965E-07
0.034,8.36422E-07
0.036,8.39494E-07
0.038,8.43334E-07
0.04,8.45791E-07
0.042,8.48709E-07
0.044,8.52395E-07
0.046,8.55006E-07
0.048,8.58077E-07
0.05,8.6161E-07
0.052,8.64067E-07
0.054,8.67446E-07
0.056,8.70978E-07
0.058,8.73128E-07
0.06,8.76661E-07
0.062,8.80039E-07
0.064,8.82804E-07
0.066,8.86029E-07
0.068,8.89254E-07
0.07,8.92326E-07
0.072,8.95397E-07
0.074,8.98469E-07
0.076,9.01541E-07
0.078,9.04919E-07
0.08,9.07684E-07
0.082,9.11063E-07
0.084,9.14288E-07
0.086,9.16745E-07
0.088,9.20892E-07
0.09,9.24117E-07
0.092,9.26421E-07
0.094,9.30721E-07
0.096,9.33946E-07
0.098,9.35635E-07
0.1,9.4055E-07
0.102,9.43622E-07
0.104,9.45157E-07
0.106,9.50379E-07
0.108,9.53297E-07
0.11,9.54987E-07
0.112,9.60515E-07
0.114,9.63741E-07
0.116,9.64969E-07
0.118,9.70805E-07
0.12,9.73263E-07
0.122,9.74952E-07
0.124,9.81402E-07
0.126,9.84474E-07
0.128,9.85395E-07
0.13,9.91692E-07
0.132,9.94917E-07
0.134,9.963E-07
0.136,1.00275E-06
0.138,1.00598E-06
0.14,1.0072E-06
0.142,1.01335E-06
0.144,1.01688E-06
0.146,1.01826E-06
0.148,1.02394E-06
0.15,1.02855E-06
0.152,1.02978E-06
0.154,1.03516E-06
0.156,1.03915E-06
0.158,1.04161E-06
0.16,1.04713E-06
0.162,1.05067E-06
0.164,1.05328E-06
0.166,1.05896E-06
0.168,1.06249E-06
0.17,1.06541E-06
0.172,1.07063E-06
0.174,1.07386E-06
0.176,1.07754E-06
0.178,1.0823E-06
0.18,1.08538E-06
0.182,1.08983E-06
0.184,1.0949E-06
0.186,1.09782E-06
0.188,1.10135E-06
0.19,1.10795E-06
0.192,1.10995E-06
0.194,1.11317E-06
0.196,1.11947E-06
0.198,1.12162E-06
0.2,1.12561E-06
0.202,1.13176E-06
0.204,1.13391E-06
0.206,1.13852E-06
0.208,1.14466E-06
0.21,1.1465E-06
0.212,1.15234E-06
0.214,1.15725E-06
0.216,1.15894E-06
0.218,1.16171E-06
0.22,1.16938E-06
0.222,1.17123E-06
0.224,1.17553E-06
0.226,1.18198E-06
0.228,1.18259E-06
0.23,1.18781E-06
0.232,1.19473E-06
0.234,1.19473E-06
0.236,1.19949E-06
0.238,1.2067E-06
0.24,1.20686E-06
0.242,1.21131E-06
0.244,1.21822E-06
0.246,1.21792E-06
0.248,1.22206E-06
0.25,1.22943E-06
0.252,1.22867E-06
0.254,1.23327E-06
0.256,1.24095E-06
0.258,1.24065E-06
0.26,1.24433E-06
0.262,1.25186E-06
0.264,1.25063E-06
0.266,1.25447E-06
0.268,1.26169E-06
0.27,1.2603E-06
0.272,1.2643E-06
0.274,1.27167E-06
0.276,1.26998E-06
0.278,1.27459E-06
0.28,1.28134E-06
0.282,1.27981E-06
0.284,1.28349E-06
0.286,1.28979E-06
0.288,1.28887E-06
0.29,1.2924E-06
0.292,1.29762E-06
0.294,1.2967E-06
0.296,1.30085E-06
0.298,1.30592E-06
0.3,0.000001305
0.302,1.30884E-06
0.304,1.31329E-06
0.306,1.31283E-06
0.308,1.31575E-06
0.31,1.32051E-06
0.312,1.32005E-06
0.314,1.3222E-06
0.316,1.32727E-06
0.318,1.32634E-06
0.32,1.32926E-06
0.322,1.33325E-06
0.324,1.33325E-06
0.326,1.33571E-06
0.328,1.33878E-06
0.33,1.33955E-06
0.332,1.34139E-06
0.334,1.34431E-06
0.336,1.34523E-06
0.338,1.34708E-06
0.34,1.34892E-06
0.342,1.35046E-06
0.344,1.35245E-06
0.346,1.35445E-06
0.348,1.35537E-06
0.35,1.35752E-06
0.352,1.35814E-06
0.354,1.36059E-06
0.356,1.36259E-06
0.358,1.36197E-06
0.36,1.36489E-06
0.362,1.3672E-06
0.364,1.36612E-06
0.366,1.36965E-06
0.368,1.37165E-06
0.37,1.37058E-06
0.372,1.37472E-06
0.374,1.37672E-06
0.376,1.37426E-06
0.378,1.37887E-06
0.38,1.3804E-06
0.382,1.37902E-06
0.384,1.38317E-06
0.386,1.38486E-06
0.388,1.38163E-06
0.39,1.38854E-06
0.392,1.38947E-06
0.394,1.38885E-06
0.396,1.39208E-06
0.398,1.39592E-06
0.4,1.39392E-06
0.402,1.39745E-06
0.404,1.39899E-06
0.406,1.39868E-06
0.408,1.40237E-06
0.41,1.4039E-06
0.412,1.40421E-06
0.414,1.40743E-06
0.416,1.40912E-06
0.418,1.40974E-06
0.42,1.41281E-06
0.422,1.4145E-06
0.424,1.41557E-06
0.426,1.41865E-06
0.428,1.42049E-06
0.43,1.42172E-06
0.432,1.42464E-06
0.434,1.42679E-06
0.436,1.42832E-06
0.438,1.43109E-06
0.44,1.43324E-06
0.442,1.43493E-06
0.444,1.43784E-06
0.446,1.43984E-06
0.448,1.44199E-06
0.45,1.44475E-06
0.452,1.4466E-06
0.454,1.44905E-06
0.456,1.45167E-06
0.458,1.45397E-06
0.46,1.45658E-06
0.462,1.45919E-06
0.464,1.46134E-06
0.466,1.46411E-06
0.468,1.46672E-06
0.47,1.46917E-06
0.472,1.47178E-06
0.474,1.4747E-06
0.476,1.47685E-06
0.478,1.47946E-06
0.48,1.48223E-06
0.482,1.48453E-06
0.484,1.4873E-06
0.486,1.48991E-06
0.488,1.49252E-06
0.49,1.49513E-06
0.492,1.49789E-06
0.494,1.5005E-06
0.496,1.50327E-06
0.498,1.50619E-06
0.5,1.50895E-06
0.502,1.51187E-06
0.504,1.51509E-06
0.506,1.51771E-06
0.508,1.52062E-06
0.51,0.000001524
0.512,1.52661E-06
0.514,1.52953E-06
0.516,1.53291E-06
0.518,1.53552E-06
0.52,1.53844E-06
0.522,1.54182E-06
0.524,1.54458E-06
0.526,1.54781E-06
0.528,1.55119E-06
0.53,1.5541E-06
0.532,1.55718E-06
0.534,1.56071E-06
0.536,1.56347E-06
0.538,1.5667E-06
0.54,1.57023E-06
0.542,1.57299E-06
0.544,1.57622E-06
0.546,1.57991E-06
0.548,1.58282E-06
0.55,1.58605E-06
0.552,1.58989E-06
0.554,1.59296E-06
0.556,1.59618E-06
0.558,1.60002E-06
0.56,1.60279E-06
0.562,1.60617E-06
0.564,1.61016E-06
0.566,1.61308E-06
0.568,1.6163E-06
0.57,1.6203E-06
0.572,1.62337E-06
0.574,1.6269E-06
0.576,1.63105E-06
0.578,1.63397E-06
0.58,1.6375E-06
0.582,1.6418E-06
0.584,1.64456E-06
0.586,1.6484E-06
0.588,1.65255E-06
