E/V        I/A.1,E/V        I/A.2
-0.15,6.40607E-07
-0.148,6.45215E-07
-0.146,6.48133E-07
-0.144,6.51358E-07
-0.142,6.54123E-07
-0.14,6.56887E-07
-0.138,6.59959E-07
-0.136,6.62877E-07
-0.134,6.65487E-07
-0.132,6.68406E-07
-0.13,6.71324E-07
-0.128,6.73934E-07
-0.126,6.76699E-07
-0.124,6.7977E-07
-0.122,6.82228E-07
-0.12,6.84992E-07
-0.118,6.88217E-07
-0.116,6.90675E-07
-0.114,6.93439E-07
-0.112,6.96204E-07
-0.11,6.98814E-07
-0.108,7.01425E-07
-0.106,7.0419E-07
-0.104,7.06801E-07
-0.102,7.09565E-07
-0.1,7.12329E-07
-0.098,7.14787E-07
-0.096,7.17551E-07
-0.094,7.20316E-07
-0.092,7.22927E-07
-0.09,7.25691E-07
-0.088,7.28455E-07
-0.086,7.31066E-07
-0.084,7.33831E-07
-0.082,7.36595E-07
-0.08,7.39052E-07
-0.078,7.42278E-07
-0.076,7.44889E-07
-0.074,7.47346E-07
-0.072,7.5011E-07
-0.07,7.52875E-07
-0.068,7.55332E-07
-0.066,7.58096E-07
-0.064,7.61014E-07
-0.062,7.63472E-07
-0.06,7.66236E-07
-0.058,7.69001E-07
-0.056,7.71458E-07
-0.054,7.74222E-07
-0.052,7.76833E-07
-0.05,7.79444E-07
-0.048,7.82055E-07
-0.046,7.84512E-07
-0.044,7.8743E-07
-0.042,7.90195E-07
-0.04,7.92652E-07
-0.038,7.95416E-07
-0.036,7.98335E-07
-0.034,8.00792E-07
-0.032,8.03556E-07
-0.03,8.06474E-07
-0.028,8.08932E-07
-0.026,8.11542E-07
-0.024,8.1446E-07
-0.022,8.17071E-07
-0.02,8.19836E-07
-0.018,8.22447E-07
-0.016,8.25211E-07
-0.014,8.27976E-07
-0.012,8.30586E-07
-0.01,8.33197E-07
-0.008,8.36115E-07
-0.006,8.38726E-07
-0.004,8.41337E-07
-0.002,8.44255E-07
3.11708E-18,8.47019E-07
0.002,8.4963E-07
0.004,8.52395E-07
0.006,8.55006E-07
0.008,8.5777E-07
0.01,8.60535E-07
0.012,8.63299E-07
0.014,8.66063E-07
0.016,8.68828E-07
0.018,8.71439E-07
0.02,8.74203E-07
0.022,8.76968E-07
0.024,8.79886E-07
0.026,8.8265E-07
0.028,8.85415E-07
0.03,8.88333E-07
0.032,8.91097E-07
0.034,8.93708E-07
0.036,8.96472E-07
0.038,8.9939E-07
0.04,9.01848E-07
0.042,9.04919E-07
0.044,9.07684E-07
0.046,9.10448E-07
0.048,9.13213E-07
0.05,9.16131E-07
0.052,9.18895E-07
0.054,9.21813E-07
0.056,9.24731E-07
0.058,9.27496E-07
0.06,9.3026E-07
0.062,9.33025E-07
0.064,9.35943E-07
0.066,9.38707E-07
0.068,9.41471E-07
0.07,9.44543E-07
0.072,9.47307E-07
0.074,9.49918E-07
0.076,9.53144E-07
0.078,9.55908E-07
0.08,9.58672E-07
0.082,9.61744E-07
0.084,9.64662E-07
0.086,9.6758E-07
0.088,9.70498E-07
0.09,9.71727E-07
0.092,9.76488E-07
0.094,9.79867E-07
0.096,9.82324E-07
0.098,9.85395E-07
0.1,9.90924E-07
0.102,9.91692E-07
0.104,9.94457E-07
0.106,9.97989E-07
0.108,1.0006E-06
0.11,1.00383E-06
0.112,1.00751E-06
0.114,1.00981E-06
0.116,1.01304E-06
0.118,1.01688E-06
0.12,1.01903E-06
0.122,1.02256E-06
