E/V        I/A.1,E/V        I/A.2
0.368,1.3566E-06
0.37,1.35537E-06
0.372,1.35675E-06
0.374,1.35583E-06
0.376,1.35982E-06
0.378,1.36121E-06
0.38,1.36013E-06
0.382,1.36412E-06
0.384,1.3652E-06
0.386,1.36412E-06
0.388,1.36904E-06
0.39,1.36981E-06
0.392,1.36965E-06
0.394,1.37303E-06
0.396,1.37441E-06
0.398,1.37441E-06
0.4,1.37764E-06
0.402,1.37902E-06
0.404,1.37841E-06
0.406,1.38255E-06
0.408,1.38409E-06
0.41,1.38424E-06
0.412,1.38762E-06
0.414,1.38947E-06
0.416,1.38947E-06
0.418,1.39315E-06
0.42,0.000001393
0.422,1.39484E-06
0.424,1.39868E-06
0.426,1.40083E-06
0.428,1.40098E-06
0.43,1.40467E-06
0.432,1.40682E-06
0.434,1.40682E-06
0.436,1.41081E-06
0.438,1.41296E-06
0.44,1.41327E-06
0.442,1.41726E-06
0.444,1.41941E-06
0.446,1.42034E-06
0.448,1.42417E-06
0.45,1.42632E-06
0.452,1.42725E-06
0.454,1.43109E-06
0.456,1.43354E-06
0.458,1.43462E-06
0.46,1.43846E-06
0.462,1.44061E-06
0.464,1.44214E-06
0.466,1.44583E-06
0.468,1.44813E-06
0.47,1.44998E-06
0.472,1.45351E-06
0.474,1.45597E-06
0.476,1.45827E-06
0.478,1.46119E-06
0.48,1.4638E-06
0.482,1.46579E-06
0.484,1.46933E-06
0.486,1.47286E-06
0.488,1.47409E-06
0.49,1.47762E-06
0.492,1.48008E-06
0.494,1.48269E-06
0.496,1.48576E-06
0.498,1.48837E-06
0.5,1.49098E-06
0.502,1.49436E-06
0.504,1.49682E-06
0.506,1.49958E-06
0.508,1.50296E-06
0.51,1.50542E-06
0.512,1.50834E-06
0.514,1.51156E-06
0.516,1.51417E-06
0.518,1.51724E-06
0.52,1.52062E-06
0.522,1.52308E-06
0.524,1.52615E-06
0.526,1.52953E-06
0.528,1.53214E-06
0.53,1.53491E-06
0.532,1.5389E-06
0.534,1.54105E-06
0.536,1.54427E-06
0.538,1.54796E-06
0.54,1.55042E-06
0.542,1.55364E-06
0.544,1.55733E-06
0.546,1.55856E-06
0.548,1.56301E-06
0.55,1.5667E-06
0.552,1.56931E-06
0.554,1.57253E-06
0.556,1.57653E-06
0.558,1.57883E-06
0.56,1.58221E-06
0.562,1.58467E-06
0.564,1.58881E-06
0.566,1.59219E-06
0.568,1.59618E-06
0.57,1.5988E-06
0.572,1.60248E-06
0.574,1.60663E-06
0.576,1.60893E-06
0.578,1.61246E-06
0.58,1.61692E-06
0.582,1.61922E-06
0.584,1.62275E-06
0.586,1.62721E-06
0.588,1.62982E-06
0.59,1.63366E-06
0.592,1.63796E-06
0.594,1.64057E-06
0.596,1.64441E-06
0.598,1.64902E-06
0.6,1.65163E-06
0.598,1.64011E-06
0.596,1.63366E-06
0.594,1.62613E-06
0.592,1.61999E-06
0.59,1.61492E-06
0.588,1.60862E-06
0.586,1.6034E-06
0.584,1.59849E-06
0.582,1.59296E-06
0.58,1.58789E-06
0.578,1.58374E-06
0.576,1.57822E-06
0.574,1.57361E-06
0.572,1.56931E-06
0.57,1.56439E-06
0.568,1.56009E-06
0.566,1.55595E-06
0.564,1.55149E-06
0.562,1.54719E-06
0.56,1.54289E-06
0.558,1.5389E-06
0.556,1.5346E-06
0.554,1.5303E-06
0.552,1.52646E-06
0.55,1.52247E-06
0.548,1.51801E-06
0.546,1.51463E-06
0.544,1.51079E-06
0.542,1.50634E-06
0.54,1.50281E-06
0.538,1.49912E-06
0.536,1.49467E-06
0.534,1.49114E-06
0.532,1.48791E-06
0.53,1.48315E-06
0.528,1.48023E-06
0.526,1.47685E-06
0.524,1.47209E-06
0.522,1.46948E-06
0.52,1.46579E-06
0.518,1.46103E-06
0.516,1.45842E-06
0.514,1.45504E-06
0.512,1.44998E-06
0.51,1.44767E-06
0.508,1.44414E-06
0.506,1.43923E-06
0.504,1.43723E-06
0.502,1.43354E-06
0.5,1.42894E-06
0.498,1.42663E-06
0.496,1.4231E-06
0.494,1.41849E-06
0.492,1.41634E-06
0.49,1.41296E-06
0.488,1.40836E-06
0.486,1.40651E-06
0.484,1.40283E-06
0.482,1.39822E-06
0.48,1.39638E-06
0.478,1.39254E-06
0.476,1.38808E-06
0.474,1.38593E-06
0.472,1.3824E-06
0.47,1.3781E-06
0.468,1.3758E-06
0.466,1.37242E-06
0.464,1.36796E-06
0.462,1.36597E-06
0.46,1.36228E-06
0.458,1.35829E-06
0.456,1.35598E-06
0.454,1.3523E-06
0.452,1.34831E-06
0.45,0.000001346
0.448,1.34232E-06
0.446,1.33832E-06
0.444,1.33602E-06
0.442,1.33249E-06
0.44,1.32849E-06
0.438,1.32619E-06
0.436,1.32235E-06
0.434,1.31866E-06
0.432,1.31605E-06
0.43,1.31221E-06
0.428,1.30853E-06
0.426,1.30607E-06
0.424,1.30177E-06
0.422,1.29855E-06
0.42,1.29624E-06
0.418,1.29163E-06
0.416,1.28856E-06
0.414,1.28457E-06
0.412,1.28196E-06
0.41,1.27827E-06
0.408,1.27582E-06
0.406,1.27136E-06
0.404,1.26768E-06
0.402,1.26537E-06
0.4,1.26061E-06
0.398,1.25754E-06
0.396,1.25554E-06
0.394,1.25032E-06
0.392,1.2471E-06
0.39,1.24556E-06
0.388,1.23957E-06
0.386,1.23635E-06
0.384,1.2345E-06
0.382,1.22897E-06
0.38,1.22544E-06
0.378,1.22283E-06
0.376,1.21807E-06
0.374,1.21469E-06
0.372,1.21362E-06
0.37,1.20732E-06
0.368,1.20379E-06
0.366,1.20287E-06
0.364,1.19611E-06
0.362,1.19319E-06
0.36,1.19119E-06
0.358,1.1852E-06
0.356,1.18106E-06
0.354,1.1806E-06
0.352,1.17307E-06
0.35,1.16985E-06
0.348,1.16954E-06
0.346,1.16217E-06
0.344,1.15771E-06
0.342,1.15863E-06
0.34,1.15019E-06
0.338,1.14665E-06
0.336,1.14665E-06
0.334,1.13867E-06
0.332,1.13483E-06
0.33,1.13621E-06
0.328,1.12684E-06
0.326,1.1227E-06
0.324,1.12346E-06
0.322,1.11563E-06
0.32,1.11041E-06
0.318,1.11087E-06
0.316,1.10242E-06
0.314,1.09935E-06
0.312,1.09812E-06
0.31,1.09121E-06
0.308,1.08737E-06
0.306,1.08538E-06
0.304,1.07939E-06
0.302,1.07539E-06
0.3,1.07309E-06
0.298,1.06649E-06
0.296,1.06326E-06
0.294,1.06034E-06
0.292,1.05451E-06
0.29,1.05159E-06
0.288,1.04713E-06
0.286,1.0433E-06
0.284,1.0393E-06
0.282,1.03285E-06
0.28,1.03208E-06
0.278,1.02533E-06
0.276,1.0241E-06
0.274,1.01842E-06
0.272,1.01642E-06
0.27,1.00766E-06
0.268,1.00736E-06
0.266,1.00536E-06
0.264,9.9461E-07
0.262,9.97068E-07
0.26,9.94149E-07
0.258,9.81402E-07
0.256,9.8601E-07
0.254,9.84167E-07
0.252,9.70345E-07
0.25,9.76641E-07
0.248,9.73263E-07
0.246,9.60362E-07
0.244,9.56215E-07
0.242,9.64816E-07
0.24,9.48843E-07
0.238,9.56829E-07
0.236,9.52068E-07
0.234,9.37939E-07
0.232,9.48229E-07
0.23,9.45311E-07
0.228,9.25192E-07
0.226,9.38861E-07
0.224,9.35943E-07
0.222,9.21352E-07
0.22,9.30106E-07
0.218,9.27496E-07
0.216,9.01694E-07
0.214,9.23503E-07
0.212,9.20277E-07
0.21,9.04305E-07
0.208,9.12445E-07
0.206,9.15363E-07
0.204,8.99851E-07
0.202,9.08144E-07
0.2,9.04151E-07
0.198,8.97087E-07
0.196,9.00312E-07
0.194,8.9724E-07
0.192,8.87872E-07
0.19,8.93862E-07
0.188,8.91251E-07
0.186,8.82497E-07
0.184,8.89101E-07
0.182,8.85261E-07
0.18,8.77275E-07
0.178,8.83725E-07
0.176,8.78811E-07
0.174,8.78196E-07
0.172,8.83879E-07
0.17,8.72821E-07
0.168,8.68521E-07
0.166,8.72514E-07
0.164,8.67906E-07
0.162,8.63453E-07
0.16,8.66678E-07
0.158,8.62378E-07
0.156,8.59306E-07
0.154,8.62378E-07
0.152,8.60074E-07
0.15,8.55159E-07
0.148,8.57309E-07
0.146,8.53163E-07
0.144,8.51013E-07
0.142,8.53931E-07
0.14,8.47634E-07
0.138,8.46098E-07
0.136,8.47327E-07
0.134,8.43334E-07
0.132,8.41491E-07
0.13,8.4318E-07
0.128,8.37651E-07
0.126,8.36269E-07
0.124,8.38726E-07
0.122,8.32276E-07
0.12,8.31201E-07
0.118,8.33504E-07
0.116,8.27668E-07
0.114,8.26133E-07
0.112,8.26593E-07
0.11,8.22447E-07
0.108,8.20757E-07
0.106,8.21064E-07
0.104,8.16764E-07
0.102,8.15075E-07
0.1,8.15689E-07
0.098,8.11235E-07
0.096,8.09853E-07
0.094,8.10007E-07
0.092,8.0586E-07
0.09,8.03863E-07
0.088,8.04171E-07
0.086,7.99717E-07
0.084,7.9772E-07
0.082,7.97874E-07
0.08,7.93881E-07
0.078,7.91577E-07
0.076,7.90809E-07
0.074,7.87277E-07
0.072,7.85127E-07
0.07,7.85434E-07
0.068,7.8098E-07
0.066,7.7883E-07
0.064,7.79905E-07
0.062,7.7453E-07
0.06,7.72533E-07
0.058,7.71919E-07
0.056,7.68079E-07
0.054,7.65929E-07
0.052,7.65161E-07
0.05,7.61322E-07
0.048,7.59172E-07
0.046,7.5825E-07
0.044,7.54411E-07
0.042,7.52107E-07
0.04,7.50878E-07
0.038,7.47346E-07
0.036,7.45042E-07
0.034,7.4366E-07
0.032,7.40128E-07
0.03,7.37977E-07
0.028,7.35981E-07
0.026,7.32756E-07
0.024,7.30606E-07
0.022,7.28763E-07
0.02,7.25537E-07
0.018,7.23234E-07
0.016,7.21237E-07
0.014,7.18166E-07
0.012,7.15708E-07
0.01,7.13405E-07
0.008,7.1064E-07
0.006,7.08336E-07
0.004,7.05572E-07
0.002,7.03268E-07
3.14419E-18,7.00811E-07
-0.002,6.98047E-07
-0.004,6.95589E-07
-0.006,6.93286E-07
-0.008,6.90368E-07
-0.01,6.88064E-07
-0.012,6.85607E-07
-0.014,6.82381E-07
-0.016,6.80385E-07
-0.018,6.7716E-07
-0.02,6.75624E-07
-0.022,6.72706E-07
-0.024,6.70095E-07
-0.026,6.66716E-07
-0.028,6.64873E-07
-0.03,6.62569E-07
-0.032,6.58884E-07
-0.034,6.57194E-07
-0.036,6.54737E-07
-0.038,6.51051E-07
-0.04,6.49669E-07
-0.042,6.46904E-07
-0.044,6.43218E-07
-0.046,6.41836E-07
-0.048,6.39072E-07
-0.05,6.35386E-07
-0.052,6.3385E-07
-0.054,6.31239E-07
-0.056,6.27707E-07
-0.058,6.26017E-07
-0.06,6.2356E-07
-0.062,6.19874E-07
-0.064,6.18492E-07
