cvsin_type_2
Start(mV):	7.670000e+02
End(mV):	7.670000e+02
Max(mV):	7.750000e+02
Min(mV):	7.050000e+02
Freq1(Hz):	4.220009e+02
Amp1(mV):	2.000000e+02
Phase1(deg):	2.750000e+02
Freq2(Hz):	2.384186e+00
Amp2(mV):	0.000000e+00
Phase2(deg):	0.000000e+00
Freq3(Hz):	2.384186e+00
Amp3(mV):	0.000000e+00
Phase3(deg):	0.000000e+00
Freq4(Hz):	2.384186e+00
Amp4(mV):	0.000000e+00
Phase4(deg):	0.000000e+00
Freq5(Hz):	2.384186e+00
Amp5(mV):	0.000000e+00
Phase5(deg):	0.000000e+00
Freq6(Hz):	2.384186e+00
Amp6(mV):	0.000000e+00
Phase6(deg):	0.000000e+00
Freq7(Hz):	2.384186e+00
Amp7(mV):	0.000000e+00
Phase7(deg):	0.000000e+00
Freq8(Hz):	2.384186e+00
Amp8(mV):	0.000000e+00
Phase8(deg):	0.000000e+00
Type(0-4):	4
Rate(mV/s):	3.337860e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	5.670000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
5.027205e-01	2.528836e-04	0.000000e+00
6.394008e-01	-1.724975e-04	2.560000e-05
5.577691e-01	-6.150039e-05	5.120000e-05
6.102669e-01	8.086103e-05	7.680000e-05
5.891272e-01	2.045001e-04	1.024000e-04
6.353115e-01	1.859976e-04	1.280000e-04
6.147347e-01	1.256417e-04	1.536000e-04
6.468046e-01	1.298014e-04	1.792000e-04
6.316187e-01	1.434344e-04	2.048000e-04
6.645831e-01	2.042750e-04	2.304000e-04
6.573336e-01	2.111257e-04	2.560000e-04
6.871141e-01	2.422671e-04	2.816000e-04
6.826764e-01	2.450956e-04	3.072000e-04
7.090407e-01	2.825073e-04	3.328000e-04
7.083914e-01	3.096999e-04	3.584000e-04
7.336521e-01	3.525797e-04	3.840000e-04
7.386191e-01	3.620845e-04	4.096000e-04
7.614214e-01	3.585648e-04	4.352000e-04
7.656753e-01	3.603266e-04	4.608000e-04
7.874296e-01	3.592442e-04	4.864000e-04
7.927225e-01	3.598672e-04	5.120000e-04
8.136127e-01	3.594894e-04	5.376000e-04
8.195867e-01	3.596565e-04	5.632000e-04
8.391359e-01	3.596073e-04	5.888000e-04
8.451645e-01	3.595368e-04	6.144000e-04
8.633752e-01	3.596726e-04	6.400000e-04
8.691723e-01	3.594596e-04	6.656000e-04
8.861898e-01	3.597122e-04	6.912000e-04
8.911608e-01	3.594048e-04	7.168000e-04
9.067150e-01	3.597384e-04	7.424000e-04
9.108739e-01	3.593626e-04	7.680000e-04
9.248856e-01	3.597572e-04	7.936000e-04
9.279758e-01	3.593276e-04	8.192000e-04
9.400628e-01	3.597723e-04	8.448000e-04
9.420773e-01	3.592966e-04	8.704000e-04
9.523835e-01	3.597859e-04	8.960000e-04
9.528635e-01	3.592674e-04	9.216000e-04
9.610376e-01	3.597995e-04	9.472000e-04
9.601177e-01	3.592381e-04	9.728000e-04
9.664405e-01	3.598147e-04	9.984000e-04
9.639529e-01	3.592072e-04	1.024000e-03
9.679815e-01	3.598328e-04	1.049600e-03
9.639732e-01	3.591733e-04	1.075200e-03
9.661422e-01	3.598554e-04	1.100800e-03
9.604078e-01	3.591346e-04	1.126400e-03
9.607822e-01	3.598839e-04	1.152000e-03
9.532347e-01	3.590908e-04	1.177600e-03
9.517056e-01	3.599169e-04	1.203200e-03
9.426972e-01	3.590495e-04	1.228800e-03
9.392717e-01	3.599298e-04	1.254400e-03
9.288365e-01	3.590891e-04	1.280000e-03
9.238493e-01	3.596050e-04	1.305600e-03
9.124287e-01	3.605000e-04	1.331200e-03
9.108164e-01	3.260631e-04	1.356800e-03
8.984579e-01	2.293650e-04	1.382400e-03
8.870558e-01	1.771811e-04	1.408000e-03
8.740338e-01	1.388730e-04	1.433600e-03
8.642585e-01	1.032845e-04	1.459200e-03
8.508922e-01	6.046259e-05	1.484800e-03
8.402580e-01	1.453082e-05	1.510400e-03
8.257754e-01	-3.025668e-05	1.536000e-03
8.147641e-01	-7.843701e-05	1.561600e-03
7.998028e-01	-1.272367e-04	1.587200e-03
7.888995e-01	-1.826810e-04	1.612800e-03
