E/V        I/A.1,E/V        I/A.2
0.366,1.78401E-06
0.368,1.78309E-06
0.37,1.78647E-06
0.372,1.79062E-06
0.374,1.79031E-06
0.376,1.79292E-06
0.378,1.79753E-06
0.38,1.79691E-06
0.382,1.79784E-06
0.384,1.80444E-06
0.386,1.80398E-06
0.388,1.80674E-06
0.39,1.81166E-06
0.392,1.8112E-06
0.394,1.81412E-06
0.396,1.81903E-06
0.398,1.81918E-06
0.4,1.82225E-06
0.402,1.82686E-06
0.404,1.8264E-06
0.406,1.83024E-06
0.408,1.83469E-06
0.41,1.83592E-06
0.412,1.83654E-06
0.414,1.84222E-06
0.416,1.84345E-06
0.418,1.85005E-06
0.42,1.85005E-06
0.422,1.85205E-06
0.424,1.85297E-06
0.426,1.85927E-06
0.428,1.86034E-06
0.43,1.86418E-06
0.432,1.86864E-06
0.434,1.87033E-06
0.436,1.8737E-06
0.438,1.87831E-06
0.44,1.88015E-06
0.442,1.88323E-06
0.444,1.88783E-06
0.446,1.89014E-06
0.448,1.89336E-06
0.45,1.89843E-06
0.452,1.90073E-06
0.454,1.90411E-06
0.456,1.90903E-06
0.458,1.91149E-06
0.46,1.91502E-06
0.462,1.91978E-06
0.464,1.92254E-06
0.466,1.92638E-06
0.468,1.93145E-06
0.47,1.93422E-06
0.472,1.93836E-06
0.474,1.94297E-06
0.476,1.94604E-06
0.478,1.95034E-06
0.48,1.95479E-06
0.482,1.95787E-06
0.484,1.96217E-06
0.486,1.96677E-06
0.488,0.00000197
0.49,1.97445E-06
0.492,1.97891E-06
0.494,1.98259E-06
0.496,1.98705E-06
0.498,1.99119E-06
0.5,1.99519E-06
0.502,1.99949E-06
0.504,2.00363E-06
0.506,2.00778E-06
0.508,2.01208E-06
0.51,2.01607E-06
0.512,2.02083E-06
0.514,2.02513E-06
0.516,2.02867E-06
0.518,2.03389E-06
0.52,2.03804E-06
0.522,2.04126E-06
0.524,2.04664E-06
0.526,2.05109E-06
0.528,2.05447E-06
0.53,0.00000206
0.532,2.06476E-06
0.534,2.06798E-06
0.536,2.07351E-06
0.538,2.07812E-06
0.54,2.08119E-06
0.542,2.08733E-06
0.544,2.09179E-06
0.546,2.09486E-06
0.548,0.000002101
0.55,2.10546E-06
0.552,2.10899E-06
0.554,2.11498E-06
0.556,2.11943E-06
0.558,2.12327E-06
0.56,2.12926E-06
0.562,2.13418E-06
0.564,2.13756E-06
0.566,2.14431E-06
0.568,2.14892E-06
0.57,2.15261E-06
0.572,2.15906E-06
0.574,2.16412E-06
0.576,2.16781E-06
0.578,2.17441E-06
0.58,2.17964E-06
0.582,2.18363E-06
0.584,2.19023E-06
0.586,2.19576E-06
0.588,2.19976E-06
0.59,2.20636E-06
0.592,2.21189E-06
0.594,2.21634E-06
0.596,2.22295E-06
0.598,2.22878E-06
0.6,2.2337E-06
0.598,2.21972E-06
0.596,2.20958E-06
0.594,2.20022E-06
0.592,2.19254E-06
0.59,2.18409E-06
0.588,2.17595E-06
0.586,2.16919E-06
0.584,2.16167E-06
0.582,2.15399E-06
0.58,2.14754E-06
0.578,2.14047E-06
0.576,2.13326E-06
0.574,2.12742E-06
0.572,2.12035E-06
0.57,2.1139E-06
0.568,2.10838E-06
0.566,2.10177E-06
0.564,2.09532E-06
0.562,2.08995E-06
0.56,2.0835E-06
0.558,2.0772E-06
0.556,2.07182E-06
0.554,2.06568E-06
0.552,2.05969E-06
0.55,2.05431E-06
0.548,2.04833E-06
0.546,2.0428E-06
0.544,2.03773E-06
0.542,2.03174E-06
0.54,2.02636E-06
0.538,2.02114E-06
0.536,2.01515E-06
0.534,2.00978E-06
0.532,2.00502E-06
0.53,1.99903E-06
0.528,1.99396E-06
0.526,1.9895E-06
0.524,1.98351E-06
0.522,1.97829E-06
0.52,1.97399E-06
0.518,0.000001968
0.516,1.96263E-06
0.514,1.95848E-06
0.512,1.95264E-06
0.51,1.94758E-06
0.508,1.94328E-06
0.506,1.93759E-06
0.504,1.93237E-06
0.502,1.92853E-06
0.5,1.92285E-06
0.498,1.91794E-06
0.496,1.91379E-06
0.494,1.90795E-06
0.492,1.90288E-06
0.49,1.89858E-06
0.488,1.8929E-06
0.486,1.88814E-06
0.484,1.88384E-06
0.482,1.87847E-06
0.48,1.87386E-06
0.478,1.86986E-06
0.476,1.86495E-06
0.474,1.86234E-06
0.472,1.85988E-06
0.47,1.85512E-06
0.468,1.85159E-06
0.466,1.84898E-06
0.464,1.84376E-06
0.462,1.83992E-06
0.46,1.83685E-06
0.458,1.83178E-06
0.456,1.82763E-06
0.454,1.82441E-06
0.452,1.81903E-06
0.45,1.81458E-06
0.448,1.81135E-06
0.446,1.80613E-06
0.444,1.80168E-06
0.442,1.79784E-06
0.44,1.79277E-06
0.438,1.78785E-06
0.436,1.78386E-06
0.434,1.77879E-06
0.432,1.77403E-06
0.43,1.7705E-06
0.428,1.76436E-06
0.426,1.7599E-06
0.424,1.75483E-06
0.422,1.75023E-06
0.42,1.74562E-06
0.418,1.74009E-06
0.416,1.73579E-06
0.414,1.73118E-06
0.412,1.7255E-06
0.41,1.72166E-06
0.408,1.71659E-06
0.406,1.7106E-06
0.404,1.70676E-06
0.402,1.70185E-06
0.4,1.6954E-06
0.398,1.69202E-06
0.396,1.6871E-06
0.394,1.68035E-06
0.392,1.67789E-06
0.39,1.67267E-06
0.388,1.66484E-06
0.386,1.66315E-06
0.384,1.65777E-06
0.382,1.64886E-06
0.38,1.64763E-06
0.378,1.64241E-06
0.376,1.63274E-06
0.374,1.63197E-06
0.372,1.6269E-06
0.37,1.61676E-06
0.368,0.000001616
0.366,1.61124E-06
0.364,1.60002E-06
0.362,1.60018E-06
0.36,1.5948E-06
0.358,1.5839E-06
0.356,1.5839E-06
0.354,1.5776E-06
0.352,1.56747E-06
0.35,1.56762E-06
0.348,1.56071E-06
0.346,1.55103E-06
0.344,1.55165E-06
0.342,1.54427E-06
0.34,1.53429E-06
0.338,1.53506E-06
0.336,1.52707E-06
0.334,1.51771E-06
0.332,1.51801E-06
0.33,1.51003E-06
0.328,1.50081E-06
0.326,1.50112E-06
0.324,1.49282E-06
0.322,1.48346E-06
0.32,1.48392E-06
0.318,1.47685E-06
0.316,1.46718E-06
0.314,1.4661E-06
0.312,1.45873E-06
0.31,1.45151E-06
0.308,1.44844E-06
0.306,1.44045E-06
0.304,1.43477E-06
0.302,1.43016E-06
0.3,1.42356E-06
0.298,1.4165E-06
0.296,1.41358E-06
0.294,1.4059E-06
0.292,1.39714E-06
0.29,1.39699E-06
0.288,1.38747E-06
0.286,1.3824E-06
0.284,1.38133E-06
0.282,1.37027E-06
0.28,1.36397E-06
0.278,1.36197E-06
0.276,1.3546E-06
0.274,1.34554E-06
0.272,1.34969E-06
0.27,1.33863E-06
0.268,1.33034E-06
0.266,1.33387E-06
0.264,1.32128E-06
0.262,1.31498E-06
0.26,1.31713E-06
0.258,1.30561E-06
0.256,1.29962E-06
0.254,1.30269E-06
0.252,1.2901E-06
0.25,1.28565E-06
0.248,1.28995E-06
0.246,1.27413E-06
0.244,1.27152E-06
0.242,1.27566E-06
0.24,1.25754E-06
0.238,1.25785E-06
0.236,1.26153E-06
0.234,1.24525E-06
0.232,1.24356E-06
0.23,1.24909E-06
0.228,1.23312E-06
0.226,1.23066E-06
0.224,1.2385E-06
0.222,1.22007E-06
0.22,1.21807E-06
0.218,1.2259E-06
0.216,1.20793E-06
0.214,1.20563E-06
0.212,1.21223E-06
0.21,1.19734E-06
0.208,1.19473E-06
0.206,1.20087E-06
0.204,1.18751E-06
0.202,1.18413E-06
0.2,1.18981E-06
0.198,1.17645E-06
0.196,1.17322E-06
0.194,1.17921E-06
0.192,1.16585E-06
0.19,1.16324E-06
0.188,1.1677E-06
0.186,1.15648E-06
0.184,1.15264E-06
0.182,1.15879E-06
0.18,1.14619E-06
0.178,1.14358E-06
0.176,1.1485E-06
0.174,1.13606E-06
0.172,1.13391E-06
0.17,1.13882E-06
0.168,1.12623E-06
0.166,1.12408E-06
0.164,1.12899E-06
0.162,1.11855E-06
0.16,1.11425E-06
0.158,1.11932E-06
0.156,1.11041E-06
0.154,1.10749E-06
0.152,1.10718E-06
0.15,1.10227E-06
0.148,1.09904E-06
0.146,1.09643E-06
0.144,1.09413E-06
0.142,1.09213E-06
0.14,1.08676E-06
0.138,1.0863E-06
0.136,1.08445E-06
0.134,1.07724E-06
0.132,1.07739E-06
0.13,1.07647E-06
0.128,1.07463E-06
0.126,1.06894E-06
0.124,1.07017E-06
0.122,1.06096E-06
0.12,1.06142E-06
0.118,1.06065E-06
0.116,1.05236E-06
0.114,1.05389E-06
0.112,1.05174E-06
0.11,1.04268E-06
0.108,1.04606E-06
0.106,1.04283E-06
0.104,1.03408E-06
0.102,0.000001037
0.1,1.03362E-06
0.098,1.02563E-06
0.096,1.02809E-06
0.094,1.02471E-06
0.092,1.01657E-06
0.09,1.01934E-06
0.088,1.0155E-06
0.086,1.00751E-06
0.084,1.00966E-06
0.082,1.00644E-06
0.08,9.99064E-07
0.078,1.00045E-06
0.076,9.96914E-07
0.074,9.90464E-07
0.072,9.90617E-07
0.07,9.87546E-07
0.068,9.81402E-07
0.066,9.81095E-07
0.064,9.77716E-07
0.062,9.72188E-07
0.06,9.71266E-07
0.058,9.68041E-07
0.056,9.62819E-07
0.054,9.6113E-07
0.052,9.57597E-07
0.05,9.52836E-07
0.048,9.5084E-07
0.046,9.47154E-07
0.044,9.42546E-07
0.042,9.40857E-07
0.04,9.3671E-07
0.038,9.32257E-07
0.036,9.29953E-07
0.034,9.26113E-07
0.032,9.21813E-07
0.03,9.19202E-07
0.028,9.15363E-07
0.026,9.11216E-07
0.024,9.08605E-07
0.022,9.04612E-07
0.02,9.00619E-07
0.018,8.97547E-07
0.016,8.93862E-07
0.014,8.89561E-07
0.012,8.8649E-07
0.01,8.82497E-07
0.008,8.78503E-07
0.006,8.75585E-07
0.004,8.71285E-07
0.002,8.67753E-07
3.14419E-18,8.64528E-07
-0.002,8.60227E-07
-0.004,8.56695E-07
-0.006,8.53316E-07
-0.008,8.4917E-07
-0.01,8.45637E-07
-0.012,8.42259E-07
-0.014,8.37958E-07
-0.016,8.34426E-07
-0.018,8.31201E-07
-0.02,8.269E-07
-0.022,8.23215E-07
-0.024,8.19989E-07
-0.026,8.15536E-07
-0.028,8.11542E-07
-0.03,8.08778E-07
-0.032,8.04017E-07
-0.034,8.00177E-07
