E/V        I/A.1,E/V        I/A.2
-0.15,5.80097E-07
-0.148,5.91155E-07
-0.146,5.99755E-07
-0.144,6.06666E-07
-0.142,6.14192E-07
-0.14,6.21563E-07
-0.138,6.2786E-07
-0.136,6.34771E-07
-0.134,6.41683E-07
-0.132,6.47672E-07
-0.13,6.54276E-07
-0.128,6.6088E-07
-0.126,6.66563E-07
-0.124,6.72859E-07
-0.122,6.79156E-07
-0.12,6.84839E-07
-0.118,6.90828E-07
-0.116,6.96971E-07
-0.114,7.02347E-07
-0.112,7.08183E-07
-0.11,7.14172E-07
-0.108,7.19548E-07
-0.106,7.2523E-07
-0.104,7.31066E-07
-0.102,7.36288E-07
-0.1,7.41663E-07
-0.098,7.47346E-07
-0.096,7.52414E-07
-0.094,7.57943E-07
-0.092,7.63472E-07
-0.09,7.6854E-07
-0.088,7.73915E-07
-0.086,7.79444E-07
-0.084,7.84052E-07
-0.082,7.8958E-07
-0.08,7.94802E-07
-0.078,7.99563E-07
-0.076,8.04938E-07
-0.074,8.1016E-07
-0.072,8.15382E-07
-0.07,8.20604E-07
-0.068,8.25825E-07
-0.066,8.30894E-07
-0.064,8.36115E-07
-0.062,8.4103E-07
-0.06,8.46405E-07
-0.058,8.5132E-07
-0.056,8.55927E-07
-0.054,8.61456E-07
-0.052,8.66371E-07
-0.05,8.70824E-07
-0.048,8.76353E-07
-0.046,8.81729E-07
-0.044,8.85875E-07
-0.042,8.91558E-07
-0.04,8.9678E-07
-0.038,9.00926E-07
-0.036,9.06762E-07
-0.034,9.11984E-07
-0.032,9.15977E-07
-0.03,9.21813E-07
-0.028,9.27035E-07
-0.026,9.30874E-07
-0.024,9.36557E-07
-0.022,9.41318E-07
-0.02,9.45311E-07
-0.018,9.5084E-07
-0.016,9.55447E-07
-0.014,9.5944E-07
-0.012,9.65123E-07
-0.01,9.6973E-07
-0.008,9.73723E-07
-0.006,9.79099E-07
-0.004,9.83706E-07
-0.002,9.87699E-07
3.11708E-18,9.93074E-07
0.002,9.97682E-07
0.004,1.00167E-06
0.006,1.0072E-06
