E/V        I/A.1,E/V        I/A.2
-0.15,5.79175E-07
-0.148,5.89772E-07
-0.146,5.96683E-07
-0.144,6.0252E-07
-0.142,6.09891E-07
-0.14,6.16035E-07
-0.138,6.21103E-07
-0.136,6.27707E-07
-0.134,6.33389E-07
-0.132,6.37843E-07
-0.13,6.44754E-07
-0.128,6.50283E-07
-0.126,6.55198E-07
-0.124,6.61187E-07
-0.122,6.66409E-07
-0.12,6.70402E-07
-0.118,6.76699E-07
-0.116,6.81921E-07
-0.114,6.8576E-07
-0.112,6.89907E-07
-0.11,6.97586E-07
-0.108,7.025E-07
-0.106,7.07108E-07
-0.104,7.11562E-07
-0.102,7.18473E-07
-0.1,7.22773E-07
-0.098,7.28148E-07
-0.096,7.32295E-07
-0.094,7.38745E-07
-0.092,7.4366E-07
-0.09,7.47807E-07
-0.088,7.53796E-07
-0.086,7.58557E-07
-0.084,7.62857E-07
-0.082,7.68847E-07
-0.08,7.73301E-07
-0.078,7.77294E-07
-0.076,7.82823E-07
-0.074,7.8743E-07
-0.072,7.91116E-07
-0.07,7.96952E-07
-0.068,8.0156E-07
-0.066,8.05399E-07
-0.064,8.10775E-07
-0.062,8.15382E-07
-0.06,8.19375E-07
-0.058,8.24597E-07
-0.056,8.29051E-07
-0.054,8.33044E-07
-0.052,8.38112E-07
-0.05,8.42566E-07
-0.048,8.46712E-07
-0.046,8.51627E-07
-0.044,8.55927E-07
-0.042,8.60074E-07
-0.04,8.64988E-07
-0.038,8.69135E-07
-0.036,8.73742E-07
-0.034,8.78503E-07
-0.032,8.8265E-07
-0.03,8.8695E-07
-0.028,8.91558E-07
-0.026,8.95704E-07
-0.024,9.00005E-07
-0.022,9.04919E-07
-0.02,9.08452E-07
-0.018,9.12905E-07
-0.016,9.17974E-07
-0.014,9.21506E-07
-0.012,9.25806E-07
-0.01,9.30721E-07
-0.008,9.3456E-07
-0.006,9.38707E-07
-0.004,9.43468E-07
-0.002,9.47307E-07
3.11708E-18,9.51454E-07
0.002,9.56215E-07
0.004,9.59747E-07
0.006,9.64508E-07
0.008,9.68962E-07
0.01,9.72648E-07
0.012,9.76948E-07
0.014,9.81709E-07
0.016,9.85395E-07
0.018,9.89542E-07
0.02,9.9461E-07
0.022,9.97989E-07
0.024,1.00229E-06
0.026,1.00674E-06
0.028,1.01043E-06
0.03,1.01473E-06
0.032,1.01995E-06
0.034,1.02287E-06
0.036,1.02686E-06
0.038,1.03239E-06
0.04,1.03562E-06
0.042,1.03961E-06
0.044,1.04529E-06
0.046,1.04821E-06
0.048,1.0522E-06
0.05,1.05789E-06
0.052,1.0608E-06
0.054,1.06464E-06
0.056,1.07063E-06
0.058,1.07324E-06
0.06,1.07739E-06
0.062,1.08353E-06
0.064,1.08614E-06
0.066,1.09029E-06
0.068,1.09613E-06
0.07,1.09858E-06
0.072,1.10304E-06
0.074,1.10887E-06
0.076,1.11102E-06
0.078,1.11594E-06
0.08,1.12193E-06
0.082,1.12392E-06
0.084,1.12869E-06
0.086,1.13498E-06
0.088,1.13713E-06
0.09,1.14205E-06
0.092,1.14758E-06
0.094,1.1488E-06
0.096,1.15694E-06
0.098,1.16032E-06
0.1,1.16247E-06
0.102,1.16862E-06
0.104,1.17322E-06
0.106,1.17645E-06
0.108,1.18136E-06
0.11,1.18505E-06
0.112,1.19058E-06
0.114,1.19503E-06
0.116,1.19749E-06
0.118,1.2044E-06
0.12,1.2087E-06
0.122,1.20978E-06
