E/V        I/A.1,E/V        I/A.2
-0.15,5.98066E-07
-0.148,6.09891E-07
-0.146,6.18185E-07
-0.144,6.26324E-07
-0.142,6.34157E-07
-0.14,6.41529E-07
-0.138,6.49054E-07
-0.136,6.56273E-07
-0.134,6.63491E-07
-0.132,6.70248E-07
-0.13,6.77006E-07
-0.128,6.8361E-07
-0.126,6.90521E-07
-0.124,6.96818E-07
-0.122,7.03268E-07
-0.12,7.09872E-07
-0.118,7.15862E-07
-0.116,7.22466E-07
-0.114,7.2907E-07
-0.112,7.34906E-07
-0.11,7.41356E-07
-0.108,7.47653E-07
-0.106,7.53028E-07
-0.104,7.59018E-07
-0.102,7.65008E-07
-0.1,7.70536E-07
-0.098,7.76373E-07
-0.096,7.82055E-07
-0.094,7.87737E-07
-0.092,7.9342E-07
-0.09,7.9941E-07
-0.088,8.05246E-07
-0.086,8.10928E-07
-0.084,8.16764E-07
-0.082,8.22447E-07
-0.08,8.28129E-07
-0.078,8.33658E-07
-0.076,8.39187E-07
-0.074,8.44869E-07
-0.072,8.50398E-07
-0.07,8.55927E-07
-0.068,8.6161E-07
-0.066,8.67292E-07
-0.064,8.72667E-07
-0.062,8.78196E-07
-0.06,8.83879E-07
-0.058,8.88947E-07
-0.056,8.94322E-07
-0.054,9.00005E-07
-0.052,9.04766E-07
-0.05,9.09834E-07
-0.048,9.15516E-07
-0.046,9.20431E-07
-0.044,9.25653E-07
-0.042,9.31182E-07
-0.04,9.36096E-07
-0.038,9.41011E-07
-0.036,9.46693E-07
-0.034,9.51454E-07
-0.032,9.56676E-07
-0.03,9.62205E-07
-0.028,9.67119E-07
-0.026,9.72188E-07
-0.024,9.77716E-07
-0.022,9.82477E-07
-0.02,9.87546E-07
-0.018,9.93074E-07
-0.016,9.97682E-07
-0.014,1.0029E-06
-0.012,1.00813E-06
-0.01,1.01273E-06
-0.008,1.01795E-06
-0.006,1.02318E-06
-0.004,1.02763E-06
-0.002,1.03316E-06
3.11708E-18,1.03853E-06
0.002,1.04314E-06
0.004,1.04836E-06
0.006,1.05389E-06
0.008,1.0585E-06
0.01,1.06387E-06
0.012,1.06925E-06
0.014,1.07401E-06
0.016,1.07954E-06
0.018,1.08461E-06
0.02,1.08937E-06
0.022,1.09444E-06
0.024,1.09951E-06
0.026,1.10427E-06
0.028,1.10903E-06
0.03,1.11425E-06
0.032,1.11901E-06
0.034,1.12392E-06
0.036,1.12869E-06
0.038,1.13329E-06
0.04,1.13821E-06
0.042,1.14312E-06
0.044,1.14742E-06
0.046,1.1528E-06
0.048,1.15787E-06
0.05,1.16263E-06
0.052,1.16754E-06
0.054,1.17246E-06
0.056,1.17737E-06
0.058,1.18244E-06
0.06,1.1872E-06
0.062,1.19227E-06
0.064,1.19688E-06
0.066,1.20179E-06
0.068,1.2067E-06
0.07,1.21177E-06
0.072,1.21607E-06
0.074,1.22176E-06
0.076,1.22682E-06
0.078,1.23128E-06
0.08,1.23711E-06
0.082,1.24234E-06
0.084,1.24633E-06
0.086,1.25232E-06
0.088,1.25769E-06
0.09,1.26153E-06
0.092,1.26691E-06
0.094,1.27321E-06
0.096,1.27658E-06
0.098,1.28288E-06
0.1,1.28872E-06
0.102,1.29179E-06
0.104,1.29809E-06
0.106,1.30407E-06
0.108,1.30715E-06
0.11,1.31375E-06
0.112,1.31989E-06
0.114,1.32343E-06
0.116,1.32988E-06
0.118,1.33541E-06
0.12,1.3394E-06
0.122,1.34616E-06
0.124,1.35107E-06
0.126,1.35522E-06
0.128,1.36213E-06
0.13,1.3672E-06
0.132,1.37196E-06
0.134,1.37871E-06
0.136,1.38378E-06
0.138,1.38885E-06
0.14,1.39576E-06
0.142,1.40098E-06
0.144,1.4059E-06
0.146,1.41312E-06
0.148,1.41696E-06
0.15,1.42295E-06
0.152,1.42894E-06
0.154,1.43446E-06
0.156,1.43999E-06
0.158,1.44614E-06
0.16,1.45151E-06
0.162,1.45796E-06
0.164,1.46334E-06
0.166,1.46948E-06
0.168,1.47639E-06
0.17,1.48131E-06
0.172,1.48668E-06
0.174,1.4939E-06
0.176,1.49881E-06
0.178,1.50496E-06
0.18,1.51202E-06
0.182,1.51924E-06
0.184,1.52339E-06
0.186,1.53122E-06
0.188,1.53813E-06
0.19,1.54259E-06
0.192,1.5498E-06
0.194,1.55702E-06
0.196,1.5627E-06
0.198,1.56762E-06
0.2,1.57591E-06
0.202,1.58236E-06
0.204,1.58559E-06
0.206,1.59572E-06
0.208,1.60171E-06
0.21,1.60663E-06
0.212,1.61676E-06
0.214,1.62045E-06
0.216,1.62567E-06
0.218,1.63627E-06
0.22,1.64057E-06
0.222,1.64625E-06
0.224,1.65654E-06
0.226,1.66007E-06
0.228,1.66622E-06
0.23,1.67758E-06
0.232,1.6782E-06
0.234,1.68603E-06
0.236,1.69755E-06
0.238,1.69693E-06
0.24,1.70507E-06
0.242,1.71751E-06
0.244,1.71751E-06
0.246,1.72473E-06
0.248,1.73794E-06
0.25,1.7384E-06
0.252,1.74546E-06
0.254,1.7579E-06
0.256,1.7576E-06
0.258,1.76528E-06
0.26,1.7768E-06
0.262,1.77772E-06
0.264,1.78371E-06
0.266,0.000001794
0.268,1.79722E-06
0.27,1.80275E-06
0.272,1.81166E-06
0.274,1.81442E-06
0.276,1.82149E-06
0.278,1.82993E-06
0.28,1.83193E-06
0.282,1.83869E-06
0.284,1.84468E-06
0.286,1.84729E-06
0.288,1.85328E-06
0.29,1.85942E-06
0.292,1.86188E-06
0.294,1.86848E-06
0.296,1.87478E-06
0.298,1.87693E-06
0.3,1.88292E-06
0.302,1.88891E-06
0.304,1.89137E-06
0.306,1.89582E-06
0.308,1.90288E-06
0.31,1.90534E-06
0.312,1.90949E-06
0.314,1.91532E-06
0.316,1.91947E-06
0.318,1.92346E-06
0.32,1.92684E-06
0.322,1.93237E-06
0.324,1.93514E-06
0.326,1.93805E-06
0.328,1.94374E-06
0.33,1.94666E-06
0.332,1.94865E-06
0.334,1.95372E-06
0.336,1.95787E-06
0.338,1.95879E-06
0.34,1.96462E-06
0.342,1.96693E-06
0.344,1.96862E-06
0.346,1.97415E-06
0.348,1.97799E-06
0.35,1.97645E-06
0.352,1.98275E-06
0.354,1.98643E-06
0.356,1.98444E-06
0.358,1.99073E-06
