E/V        I/A.1,E/V        I/A.2
-0.15,6.24328E-07
-0.148,6.34004E-07
-0.146,6.42604E-07
-0.144,6.49822E-07
-0.142,6.55812E-07
-0.14,6.63491E-07
-0.138,6.70095E-07
-0.136,6.7547E-07
-0.134,6.82842E-07
-0.132,6.88832E-07
-0.13,6.94053E-07
-0.128,7.00965E-07
-0.126,7.06493E-07
-0.124,7.11562E-07
-0.122,7.18166E-07
-0.12,7.23694E-07
-0.118,7.28763E-07
-0.116,7.34906E-07
-0.114,7.40435E-07
-0.112,7.45196E-07
-0.11,7.51339E-07
-0.108,7.56561E-07
-0.106,7.61782E-07
-0.104,7.67618E-07
-0.102,7.7284E-07
-0.1,7.78062E-07
-0.098,7.83437E-07
-0.096,7.88813E-07
-0.094,7.93727E-07
-0.092,7.99256E-07
-0.09,8.04324E-07
-0.088,8.09546E-07
-0.086,8.14614E-07
-0.084,8.19375E-07
-0.082,8.24597E-07
-0.08,8.29665E-07
-0.078,8.34426E-07
-0.076,8.3934E-07
-0.074,8.44562E-07
-0.072,8.49323E-07
-0.07,8.53931E-07
-0.068,8.58999E-07
-0.066,8.63606E-07
-0.064,8.68214E-07
-0.062,8.73282E-07
-0.06,8.77582E-07
-0.058,8.82343E-07
-0.056,8.87411E-07
-0.054,8.91865E-07
-0.052,8.96472E-07
-0.05,9.01387E-07
-0.048,9.05994E-07
-0.046,9.10755E-07
-0.044,9.1567E-07
-0.042,9.20277E-07
-0.04,9.25038E-07
-0.038,9.29953E-07
-0.036,9.34253E-07
-0.034,9.39014E-07
-0.032,9.44082E-07
-0.03,9.48229E-07
-0.028,9.5299E-07
-0.026,9.58212E-07
-0.024,9.62358E-07
-0.022,9.66966E-07
-0.02,9.72034E-07
-0.018,9.76027E-07
-0.016,9.80942E-07
-0.014,9.86317E-07
-0.012,9.90464E-07
-0.01,9.95071E-07
-0.008,1.00014E-06
-0.006,1.00413E-06
-0.004,1.00859E-06
-0.002,1.01396E-06
3.11708E-18,1.01795E-06
0.002,1.02256E-06
0.004,1.02778E-06
0.006,1.03178E-06
0.008,1.03654E-06
0.01,1.04145E-06
0.012,1.04545E-06
0.014,1.05036E-06
0.016,1.05543E-06
0.018,1.05927E-06
0.02,1.06403E-06
0.022,1.0691E-06
0.024,1.07232E-06
0.026,1.07739E-06
0.028,1.08277E-06
0.03,1.08599E-06
0.032,1.09075E-06
0.034,1.09582E-06
0.036,1.09935E-06
0.038,1.10381E-06
0.04,1.10949E-06
0.042,1.11302E-06
0.044,1.11747E-06
0.046,1.12316E-06
0.048,1.12669E-06
0.05,1.1313E-06
0.052,1.13683E-06
0.054,1.14051E-06
0.056,1.14497E-06
0.058,1.15065E-06
0.06,1.15433E-06
0.062,1.15909E-06
0.064,1.16447E-06
0.066,1.16831E-06
0.068,1.17322E-06
0.07,1.17814E-06
0.072,1.18229E-06
0.074,1.18735E-06
0.076,1.19165E-06
0.078,1.19611E-06
0.08,1.20148E-06
0.082,1.20548E-06
0.084,1.21024E-06
0.086,1.21577E-06
0.088,1.21945E-06
0.09,1.22498E-06
0.092,1.23005E-06
0.094,1.23327E-06
0.096,1.23926E-06
0.098,1.24433E-06
0.1,1.2474E-06
0.102,1.2537E-06
0.104,1.25861E-06
0.106,1.26061E-06
0.108,1.26829E-06
0.11,1.2729E-06
0.112,1.27336E-06
0.114,1.28303E-06
0.116,1.28764E-06
0.118,1.28749E-06
0.12,1.29701E-06
0.122,1.30208E-06
0.124,1.30192E-06
0.126,1.31221E-06
0.128,1.31268E-06
0.13,1.32297E-06
0.132,1.32665E-06
0.134,1.33187E-06
0.136,1.33157E-06
0.138,1.34186E-06
0.14,1.34769E-06
0.142,1.34738E-06
0.144,1.35752E-06
0.146,1.36305E-06
0.148,1.36382E-06
0.15,1.37365E-06
0.152,1.37795E-06
0.154,1.38025E-06
0.156,1.38947E-06
0.158,1.39361E-06
0.16,1.39607E-06
0.162,1.40544E-06
0.164,1.40836E-06
0.166,1.41158E-06
0.168,1.42018E-06
0.17,1.42464E-06
0.172,1.42755E-06
0.174,1.43615E-06
0.176,1.44091E-06
0.178,1.44399E-06
0.18,1.45289E-06
0.182,1.45689E-06
0.184,1.46149E-06
0.186,1.46979E-06
0.188,1.47209E-06
0.19,1.4767E-06
0.192,1.48453E-06
0.194,1.48899E-06
0.196,1.49359E-06
0.198,1.50127E-06
0.2,1.50527E-06
0.202,1.51079E-06
0.204,1.51817E-06
0.206,1.52277E-06
0.208,1.52738E-06
0.21,1.53629E-06
0.212,1.53936E-06
0.214,1.54504E-06
0.216,1.55564E-06
0.218,1.55656E-06
0.22,1.56332E-06
0.222,1.57376E-06
0.224,1.57438E-06
0.226,1.58144E-06
0.228,1.59081E-06
0.23,1.59142E-06
0.232,1.59787E-06
0.234,1.60862E-06
0.236,1.6074E-06
0.238,1.61461E-06
0.24,1.62567E-06
0.242,1.62475E-06
0.244,1.63105E-06
0.246,1.64026E-06
0.248,1.64149E-06
0.25,1.64579E-06
0.252,0.000001657
0.254,1.6567E-06
0.256,1.66176E-06
0.258,1.67175E-06
0.26,1.67221E-06
0.262,1.67866E-06
0.264,1.68756E-06
0.266,1.68726E-06
0.268,1.69309E-06
