cvsin_type_2
Start(mV):	7.670000e+02
End(mV):	7.670000e+02
Max(mV):	7.750000e+02
Min(mV):	7.050000e+02
Freq1(Hz):	8.106232e+01
Amp1(mV):	2.000000e+02
Phase1(deg):	2.750000e+02
Freq2(Hz):	1.192093e+00
Amp2(mV):	0.000000e+00
Phase2(deg):	0.000000e+00
Freq3(Hz):	1.192093e+00
Amp3(mV):	0.000000e+00
Phase3(deg):	0.000000e+00
Freq4(Hz):	1.192093e+00
Amp4(mV):	0.000000e+00
Phase4(deg):	0.000000e+00
Freq5(Hz):	1.192093e+00
Amp5(mV):	0.000000e+00
Phase5(deg):	0.000000e+00
Freq6(Hz):	1.192093e+00
Amp6(mV):	0.000000e+00
Phase6(deg):	0.000000e+00
Freq7(Hz):	1.192093e+00
Amp7(mV):	0.000000e+00
Phase7(deg):	0.000000e+00
Freq8(Hz):	1.192093e+00
Amp8(mV):	0.000000e+00
Phase8(deg):	0.000000e+00
Type(0-4):	4
Rate(mV/s):	1.668930e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	5.670000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
7.572572e-01	3.170551e-04	2.713600e-03
7.606438e-01	3.277298e-04	2.739200e-03
7.624845e-01	3.392508e-04	2.764800e-03
7.659678e-01	3.488127e-04	2.790400e-03
7.677816e-01	3.584966e-04	2.816000e-03
7.718896e-01	3.599864e-04	2.841600e-03
7.733666e-01	3.594759e-04	2.867200e-03
7.770029e-01	3.597190e-04	2.892800e-03
7.784497e-01	3.595493e-04	2.918400e-03
7.820601e-01	3.596567e-04	2.944000e-03
7.836934e-01	3.595688e-04	2.969600e-03
7.872025e-01	3.596274e-04	2.995200e-03
7.888849e-01	3.595754e-04	3.020800e-03
7.922342e-01	3.596097e-04	3.046400e-03
7.939891e-01	3.595771e-04	3.072000e-03
7.974478e-01	3.595973e-04	3.097600e-03
7.991082e-01	3.595767e-04	3.123200e-03
8.024889e-01	3.595880e-04	3.148800e-03
8.041518e-01	3.595753e-04	3.174400e-03
8.075366e-01	3.595804e-04	3.200000e-03
8.092825e-01	3.595733e-04	3.225600e-03
8.125448e-01	3.595741e-04	3.251200e-03
8.142991e-01	3.595710e-04	3.276800e-03
8.176356e-01	3.595687e-04	3.302400e-03
8.193631e-01	3.595686e-04	3.328000e-03
8.226109e-01	3.595639e-04	3.353600e-03
