cvsin_type_2
Start(mV):	7.670000e+02
End(mV):	7.670000e+02
Max(mV):	7.750000e+02
Min(mV):	7.050000e+02
Freq1(Hz):	2.717972e+02
Amp1(mV):	2.000000e+02
Phase1(deg):	2.750000e+02
Freq2(Hz):	2.384186e+00
Amp2(mV):	0.000000e+00
Phase2(deg):	0.000000e+00
Freq3(Hz):	2.384186e+00
Amp3(mV):	0.000000e+00
Phase3(deg):	0.000000e+00
Freq4(Hz):	2.384186e+00
Amp4(mV):	0.000000e+00
Phase4(deg):	0.000000e+00
Freq5(Hz):	2.384186e+00
Amp5(mV):	0.000000e+00
Phase5(deg):	0.000000e+00
Freq6(Hz):	2.384186e+00
Amp6(mV):	0.000000e+00
Phase6(deg):	0.000000e+00
Freq7(Hz):	2.384186e+00
Amp7(mV):	0.000000e+00
Phase7(deg):	0.000000e+00
Freq8(Hz):	2.384186e+00
Amp8(mV):	0.000000e+00
Phase8(deg):	0.000000e+00
Type(0-4):	4
Rate(mV/s):	3.337860e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	5.670000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
5.003040e-01	9.482968e-05	0.000000e+00
6.189422e-01	-2.529565e-04	2.560000e-05
5.426586e-01	-3.578701e-06	5.120000e-05
5.999556e-01	1.084953e-04	7.680000e-05
5.771509e-01	1.265939e-04	1.024000e-04
6.117107e-01	3.511683e-05	1.280000e-04
5.825709e-01	7.527315e-06	1.536000e-04
6.105607e-01	5.471831e-05	1.792000e-04
5.940639e-01	7.454307e-05	2.048000e-04
6.221123e-01	9.125103e-05	2.304000e-04
6.081052e-01	6.464940e-05	2.560000e-04
6.302238e-01	7.935268e-05	2.816000e-04
6.202554e-01	8.014972e-05	3.072000e-04
6.407726e-01	9.873952e-05	3.328000e-04
6.349548e-01	9.937002e-05	3.584000e-04
6.530232e-01	1.075000e-04	3.840000e-04
6.496556e-01	1.115559e-04	4.096000e-04
6.660373e-01	1.191963e-04	4.352000e-04
6.648661e-01	1.306663e-04	4.608000e-04
6.803997e-01	1.367692e-04	4.864000e-04
6.807228e-01	1.500956e-04	5.120000e-04
6.956331e-01	1.577284e-04	5.376000e-04
6.965767e-01	1.712586e-04	5.632000e-04
7.113496e-01	1.847066e-04	5.888000e-04
7.131909e-01	2.022980e-04	6.144000e-04
7.276440e-01	2.192003e-04	6.400000e-04
7.299612e-01	2.393226e-04	6.656000e-04
7.440553e-01	2.617109e-04	6.912000e-04
7.471301e-01	2.869389e-04	7.168000e-04
7.605650e-01	3.148841e-04	7.424000e-04
7.646412e-01	3.416992e-04	7.680000e-04
7.789904e-01	3.578643e-04	7.936000e-04
7.837094e-01	3.603948e-04	8.192000e-04
7.964725e-01	3.591907e-04	8.448000e-04
8.007299e-01	3.600209e-04	8.704000e-04
8.134386e-01	3.592793e-04	8.960000e-04
8.177968e-01	3.599244e-04	9.216000e-04
8.299524e-01	3.593088e-04	9.472000e-04
8.343237e-01	3.598709e-04	9.728000e-04
8.460039e-01	3.593246e-04	9.984000e-04
8.504581e-01	3.598330e-04	1.024000e-03
8.617068e-01	3.593354e-04	1.049600e-03
8.658710e-01	3.598029e-04	1.075200e-03
8.765079e-01	3.593436e-04	1.100800e-03
8.804427e-01	3.597774e-04	1.126400e-03
8.905495e-01	3.593504e-04	1.152000e-03
8.944110e-01	3.597551e-04	1.177600e-03
9.038799e-01	3.593563e-04	1.203200e-03
9.071552e-01	3.597348e-04	1.228800e-03
9.159761e-01	3.593617e-04	1.254400e-03
9.188848e-01	3.597160e-04	1.280000e-03
9.269037e-01	3.593667e-04	1.305600e-03
9.292852e-01	3.596984e-04	1.331200e-03
9.366832e-01	3.593716e-04	1.356800e-03
9.387103e-01	3.596813e-04	1.382400e-03
9.452610e-01	3.593765e-04	1.408000e-03
9.466684e-01	3.596647e-04	1.433600e-03
9.523832e-01	3.593816e-04	1.459200e-03
9.532490e-01	3.596481e-04	1.484800e-03
9.582584e-01	3.593872e-04	1.510400e-03
9.584073e-01	3.596311e-04	1.536000e-03
9.625793e-01	3.593937e-04	1.561600e-03
9.622474e-01	3.596130e-04	1.587200e-03
9.656197e-01	3.594017e-04	1.612800e-03
9.643382e-01	3.595932e-04	1.638400e-03
9.670220e-01	3.594123e-04	1.664000e-03
9.651166e-01	3.595701e-04	1.689600e-03
9.667920e-01	3.594277e-04	1.715200e-03
9.643123e-01	3.595403e-04	1.740800e-03
9.654005e-01	3.594529e-04	1.766400e-03
9.620605e-01	3.594958e-04	1.792000e-03
9.620529e-01	3.595025e-04	1.817600e-03
9.582011e-01	3.594080e-04	1.843200e-03
9.575416e-01	3.596401e-04	1.868800e-03
9.528567e-01	3.590926e-04	1.894400e-03
9.516360e-01	3.605018e-04	1.920000e-03
9.477661e-01	3.463317e-04	1.945600e-03
9.453700e-01	3.218311e-04	1.971200e-03
9.395341e-01	3.010411e-04	1.996800e-03
9.365764e-01	2.789767e-04	2.022400e-03
9.302145e-01	2.581007e-04	2.048000e-03
9.265501e-01	2.371429e-04	2.073600e-03
9.195667e-01	2.166785e-04	2.099200e-03
9.151828e-01	1.976480e-04	2.124800e-03
9.078040e-01	1.784656e-04	2.150400e-03
9.028965e-01	1.606392e-04	2.176000e-03
8.949333e-01	1.429218e-04	2.201600e-03
8.894467e-01	1.247871e-04	2.227200e-03
8.810191e-01	1.077313e-04	2.252800e-03
8.750135e-01	9.168653e-05	2.278400e-03
8.664234e-01	7.604482e-05	2.304000e-03
8.601169e-01	5.945278e-05	2.329600e-03
8.511767e-01	4.283556e-05	2.355200e-03
8.443012e-01	2.441900e-05	2.380800e-03
8.351760e-01	8.902128e-06	2.406400e-03
8.282872e-01	-8.678044e-06	2.432000e-03
8.187997e-01	-2.873010e-05	2.457600e-03
8.115370e-01	-4.927861e-05	2.483200e-03
8.020575e-01	-6.975140e-05	2.508800e-03
7.947556e-01	-9.315986e-05	2.534400e-03
7.852198e-01	-1.174342e-04	2.560000e-03
7.776932e-01	-1.444015e-04	2.585600e-03
7.680241e-01	-1.729238e-04	2.611200e-03
