E/V        I/A.1,E/V        I/A.2
0.368,1.3546E-06
0.37,1.35675E-06
0.372,1.36059E-06
0.374,1.35906E-06
0.376,1.36121E-06
0.378,1.36474E-06
0.38,1.36366E-06
0.382,1.36535E-06
0.384,1.36842E-06
0.386,1.36812E-06
0.388,1.3695E-06
0.39,1.37273E-06
0.392,1.37242E-06
0.394,1.37426E-06
0.396,1.37656E-06
0.398,1.37733E-06
0.4,1.37902E-06
0.402,1.38102E-06
0.404,1.38225E-06
0.406,1.38394E-06
0.408,1.38563E-06
0.41,1.38732E-06
0.412,0.000001389
0.414,1.39054E-06
0.416,1.39284E-06
0.418,1.39453E-06
0.42,1.39576E-06
0.422,1.39837E-06
0.424,1.39929E-06
0.426,1.40129E-06
0.428,1.40421E-06
0.43,1.40621E-06
0.432,1.40713E-06
0.434,1.40989E-06
0.436,1.4122E-06
0.438,1.41327E-06
0.44,1.41634E-06
0.442,1.41865E-06
0.444,1.41957E-06
0.446,1.4231E-06
0.448,1.4251E-06
0.45,1.42617E-06
0.452,1.4297E-06
0.454,1.43231E-06
0.456,1.43308E-06
0.458,1.43708E-06
0.46,1.43938E-06
0.462,1.4403E-06
0.464,1.44445E-06
0.466,1.4469E-06
0.468,1.44783E-06
0.47,1.45182E-06
0.472,1.45443E-06
0.474,1.45535E-06
0.476,1.4595E-06
0.478,1.46211E-06
0.48,1.46318E-06
0.482,1.46733E-06
0.484,1.4701E-06
0.486,1.47148E-06
0.488,1.47562E-06
0.49,1.47808E-06
0.492,1.47946E-06
0.494,1.48376E-06
0.496,1.48637E-06
0.498,1.48791E-06
0.5,1.4919E-06
0.502,1.49467E-06
0.504,1.49651E-06
0.506,1.50035E-06
0.508,1.50311E-06
0.51,1.50496E-06
0.512,1.50895E-06
0.514,1.51202E-06
0.516,1.51387E-06
0.518,1.51786E-06
0.52,1.52047E-06
0.522,1.52277E-06
0.524,1.52646E-06
0.526,1.52922E-06
0.528,1.53168E-06
0.53,1.53552E-06
0.532,1.53828E-06
0.534,1.5409E-06
0.536,1.54458E-06
0.538,1.5475E-06
0.54,1.55011E-06
0.542,1.55364E-06
0.544,1.55671E-06
0.546,1.55948E-06
0.548,1.56301E-06
0.55,1.56593E-06
0.552,1.56885E-06
0.554,1.57253E-06
0.556,1.5753E-06
0.558,1.57837E-06
0.56,1.58206E-06
0.562,1.58497E-06
0.564,1.5882E-06
0.566,1.59188E-06
0.568,1.5948E-06
0.57,1.59803E-06
0.572,1.60171E-06
0.574,1.60463E-06
0.576,1.60786E-06
0.578,1.61185E-06
0.58,1.61461E-06
0.582,1.61815E-06
0.584,1.62199E-06
0.586,1.62506E-06
0.588,1.62874E-06
0.59,1.63258E-06
0.592,1.6355E-06
0.594,1.63903E-06
0.596,1.64318E-06
0.598,1.64594E-06
0.6,1.64963E-06
0.598,1.63888E-06
0.596,1.6312E-06
0.594,1.6249E-06
0.592,1.61953E-06
0.59,1.61323E-06
0.588,1.60755E-06
0.586,1.6031E-06
0.584,1.59726E-06
0.582,1.59219E-06
0.58,1.58789E-06
0.578,1.58252E-06
0.576,1.57775E-06
0.574,1.57407E-06
0.572,1.56869E-06
0.57,1.56424E-06
0.568,1.56086E-06
0.566,1.55564E-06
0.564,1.55149E-06
0.562,1.54796E-06
0.56,1.54305E-06
0.558,1.5389E-06
0.556,1.53583E-06
0.554,1.53076E-06
0.552,1.52692E-06
0.55,1.52385E-06
0.548,1.51893E-06
0.546,1.51525E-06
0.544,1.51233E-06
0.542,1.50742E-06
0.54,1.50373E-06
0.538,1.50081E-06
0.536,1.49605E-06
0.534,1.49267E-06
0.532,1.48945E-06
0.53,1.48499E-06
0.528,1.48161E-06
0.526,1.47854E-06
0.524,1.47409E-06
0.522,1.47071E-06
0.52,1.46748E-06
0.518,1.46334E-06
0.516,1.45981E-06
0.514,1.45658E-06
0.512,1.45274E-06
0.51,1.44905E-06
0.508,1.44629E-06
0.506,1.44199E-06
0.504,1.43861E-06
0.502,1.43477E-06
0.5,1.43155E-06
0.498,1.42832E-06
0.496,1.42417E-06
0.494,1.4211E-06
0.492,1.41788E-06
0.49,1.41388E-06
0.488,1.41097E-06
0.486,1.4079E-06
0.484,1.40375E-06
0.482,1.40114E-06
0.48,1.39791E-06
0.478,1.39361E-06
0.476,0.000001391
0.474,1.38762E-06
0.472,1.38317E-06
0.47,1.38102E-06
0.468,1.37749E-06
0.466,1.37303E-06
0.464,1.37104E-06
0.462,1.36766E-06
0.46,1.3629E-06
0.458,1.36121E-06
0.456,1.35783E-06
0.454,1.35291E-06
0.452,1.35107E-06
0.45,1.34769E-06
0.448,1.34278E-06
0.446,1.34109E-06
0.444,1.33771E-06
0.442,1.33279E-06
0.44,1.3311E-06
0.438,1.32773E-06
0.436,1.32266E-06
0.434,1.32143E-06
0.432,1.3179E-06
0.43,1.31283E-06
0.428,1.31129E-06
0.426,1.30776E-06
0.424,1.30254E-06
0.422,0.000001301
0.42,1.29762E-06
0.418,1.29271E-06
0.416,1.29117E-06
0.414,1.28764E-06
0.412,1.28273E-06
0.41,1.28134E-06
0.408,1.27735E-06
0.406,1.27259E-06
0.404,1.2709E-06
0.402,1.26691E-06
0.4,1.26215E-06
0.398,1.26061E-06
0.396,1.25646E-06
0.394,1.25216E-06
0.392,1.25032E-06
0.39,1.24617E-06
0.388,1.24187E-06
0.386,1.24003E-06
0.384,1.23573E-06
0.382,1.23128E-06
0.38,1.22928E-06
0.378,1.22483E-06
0.376,1.22068E-06
0.374,1.21853E-06
0.372,1.21392E-06
0.37,1.21024E-06
0.368,1.20824E-06
0.366,1.20317E-06
0.364,1.19964E-06
0.362,1.19764E-06
0.36,1.19211E-06
0.358,1.18843E-06
0.356,1.18536E-06
0.354,1.1809E-06
0.352,1.17722E-06
0.35,1.17614E-06
0.348,1.16954E-06
0.346,1.16601E-06
0.344,1.16462E-06
0.342,1.15833E-06
0.34,1.15479E-06
0.338,1.15372E-06
0.336,1.1465E-06
0.334,1.14297E-06
0.332,1.14235E-06
0.33,1.13452E-06
0.328,1.13114E-06
0.326,1.13145E-06
0.324,1.12316E-06
0.322,1.11978E-06
0.32,1.12039E-06
0.318,1.11148E-06
0.316,1.10765E-06
0.314,1.10903E-06
0.312,1.0992E-06
0.31,1.09613E-06
0.308,1.0972E-06
0.306,1.08753E-06
0.304,1.08399E-06
0.302,1.0866E-06
0.3,1.0757E-06
0.298,1.07263E-06
0.296,1.07478E-06
0.294,1.06387E-06
0.292,1.06034E-06
0.29,1.06249E-06
0.288,1.0519E-06
0.286,1.04898E-06
0.284,1.05067E-06
0.282,1.04007E-06
0.28,1.03684E-06
0.278,1.03992E-06
0.276,1.02871E-06
0.274,1.02517E-06
0.272,1.02871E-06
0.27,1.01795E-06
0.268,1.01427E-06
0.266,1.01749E-06
0.264,1.00659E-06
0.262,1.00275E-06
0.26,1.00429E-06
0.258,9.95378E-07
0.256,9.91385E-07
0.254,9.92921E-07
0.252,9.85088E-07
0.25,9.80942E-07
0.248,9.82477E-07
0.246,9.72955E-07
0.244,9.71266E-07
0.242,9.70498E-07
0.24,9.64662E-07
0.238,9.61283E-07
0.236,9.59747E-07
0.234,9.54987E-07
0.232,9.52068E-07
0.23,9.48229E-07
0.228,9.46847E-07
0.226,9.44543E-07
0.224,9.36864E-07
0.222,9.37785E-07
0.22,9.36096E-07
0.218,9.26728E-07
0.216,9.28878E-07
0.214,9.27342E-07
0.212,9.17666E-07
0.21,9.21352E-07
0.208,9.19356E-07
0.206,9.19509E-07
0.204,9.13213E-07
0.202,9.12291E-07
0.2,9.00005E-07
0.198,9.06609E-07
0.196,9.05226E-07
0.194,8.92786E-07
0.192,9.00312E-07
0.19,8.98623E-07
0.188,8.86182E-07
0.186,8.95551E-07
0.184,8.92019E-07
0.182,8.80193E-07
0.18,8.89868E-07
0.178,8.86797E-07
0.176,8.73435E-07
0.174,8.83418E-07
0.172,8.80961E-07
0.17,8.68981E-07
0.168,8.77275E-07
0.166,8.75739E-07
0.164,8.64988E-07
0.162,8.72207E-07
0.16,8.70057E-07
0.158,8.5946E-07
0.156,8.67599E-07
0.154,8.65142E-07
0.152,8.55313E-07
0.15,8.61917E-07
0.148,8.60074E-07
0.146,8.51627E-07
0.144,8.56541E-07
0.142,8.55159E-07
0.14,8.47634E-07
0.138,8.53009E-07
0.136,8.50091E-07
0.134,8.43334E-07
0.132,8.48095E-07
0.13,8.44562E-07
0.128,8.3888E-07
0.126,8.42412E-07
0.124,8.3934E-07
0.122,8.35194E-07
0.12,8.37651E-07
0.118,8.34426E-07
0.116,8.3074E-07
0.114,8.3289E-07
0.112,8.29511E-07
0.11,8.25979E-07
0.108,8.27208E-07
0.106,8.23675E-07
0.104,8.20911E-07
0.102,8.21218E-07
0.1,8.17839E-07
0.098,8.15996E-07
0.096,8.15536E-07
0.094,8.12771E-07
0.092,8.10467E-07
0.09,8.10007E-07
0.088,8.06781E-07
0.086,8.04785E-07
0.084,8.04017E-07
0.082,8.00792E-07
0.08,7.98642E-07
0.078,7.97567E-07
0.076,7.94649E-07
0.074,7.92498E-07
0.072,7.92038E-07
0.07,7.88198E-07
0.068,7.86355E-07
0.066,7.85587E-07
0.064,7.81901E-07
0.062,7.79905E-07
0.06,7.78983E-07
0.058,7.75605E-07
0.056,7.73147E-07
0.054,7.71304E-07
0.052,7.68693E-07
0.05,7.66543E-07
0.048,7.65468E-07
0.046,7.61629E-07
0.044,7.59479E-07
0.042,7.58404E-07
0.04,7.54564E-07
0.038,7.5226E-07
0.036,7.51185E-07
0.034,7.47653E-07
0.032,7.45196E-07
0.03,7.44121E-07
0.028,7.40435E-07
0.026,7.38131E-07
0.024,7.36902E-07
0.022,7.33216E-07
0.02,7.30759E-07
0.018,7.29531E-07
0.016,7.25845E-07
0.014,7.23387E-07
0.012,7.21851E-07
0.01,7.18166E-07
0.008,7.15862E-07
0.006,7.14326E-07
0.004,7.10794E-07
0.002,7.0849E-07
3.14419E-18,7.07108E-07
-0.002,7.03268E-07
-0.004,7.00965E-07
-0.006,6.99429E-07
-0.008,6.95743E-07
-0.01,6.93132E-07
-0.012,6.91596E-07
-0.014,6.88064E-07
-0.016,6.85607E-07
-0.018,6.83764E-07
-0.02,6.80231E-07
-0.022,6.77927E-07
-0.024,6.75777E-07
-0.026,6.72552E-07
-0.028,6.70248E-07
-0.03,6.68098E-07
-0.032,6.64873E-07
-0.034,6.62416E-07
-0.036,6.59959E-07
-0.038,6.57041E-07
-0.04,6.54583E-07
-0.042,6.51972E-07
-0.044,6.49362E-07
-0.046,6.46904E-07
-0.048,6.4414E-07
-0.05,6.41529E-07
-0.052,6.38918E-07
-0.054,0.000000636
-0.056,6.33543E-07
-0.058,6.31085E-07
-0.06,6.28014E-07
-0.062,6.25864E-07
-0.064,6.23253E-07
-0.066,6.20181E-07
-0.068,6.18185E-07
-0.07,6.1542E-07
-0.072,6.12349E-07
-0.074,6.10352E-07
