E/V        I/A.1,E/V        I/A.2
-0.15,5.0515E-07
-0.148,5.13596E-07
-0.146,5.18972E-07
-0.144,5.2404E-07
-0.142,5.28494E-07
-0.14,5.33408E-07
-0.138,5.37555E-07
-0.136,5.42009E-07
-0.134,5.46463E-07
-0.132,5.50302E-07
-0.13,5.54449E-07
-0.128,5.59363E-07
-0.126,5.62589E-07
-0.124,5.66582E-07
-0.122,5.71189E-07
-0.12,5.74414E-07
-0.118,5.78254E-07
-0.116,5.82861E-07
-0.114,5.85933E-07
-0.112,5.89619E-07
-0.11,5.93919E-07
-0.108,5.96991E-07
-0.106,6.00677E-07
-0.104,6.0513E-07
-0.102,6.08048E-07
-0.1,6.11734E-07
-0.098,6.16035E-07
-0.096,6.18799E-07
-0.094,6.22331E-07
-0.092,6.26324E-07
-0.09,6.29089E-07
-0.088,6.32775E-07
-0.086,6.36922E-07
-0.084,6.39532E-07
-0.082,6.42911E-07
-0.08,6.47211E-07
-0.078,6.49822E-07
-0.076,6.53201E-07
-0.074,6.57041E-07
-0.072,6.59805E-07
-0.07,6.63337E-07
-0.068,6.67484E-07
-0.066,6.69788E-07
-0.064,6.73166E-07
-0.062,6.77006E-07
-0.06,6.7977E-07
-0.058,6.83149E-07
-0.056,6.86989E-07
-0.054,6.89753E-07
-0.052,6.92978E-07
-0.05,6.96664E-07
-0.048,6.99429E-07
-0.046,7.025E-07
-0.044,7.06186E-07
-0.042,7.08951E-07
-0.04,7.12176E-07
-0.038,7.15708E-07
-0.036,7.18473E-07
-0.034,7.21698E-07
-0.032,7.25077E-07
-0.03,7.28302E-07
-0.028,7.31373E-07
-0.026,7.34291E-07
-0.024,7.37517E-07
-0.022,7.40742E-07
-0.02,7.43506E-07
-0.018,7.47039E-07
-0.016,7.5011E-07
-0.014,7.52721E-07
-0.012,7.561E-07
-0.01,7.59479E-07
-0.008,7.61936E-07
-0.006,7.65775E-07
-0.004,7.68847E-07
-0.002,7.71151E-07
3.11708E-18,7.7499E-07
0.002,7.78215E-07
0.004,7.80212E-07
0.006,7.83898E-07
0.008,7.87123E-07
0.01,7.89273E-07
0.012,7.93266E-07
0.014,7.96338E-07
0.016,7.98181E-07
0.018,8.02788E-07
0.02,8.05706E-07
0.022,8.07396E-07
0.024,8.12003E-07
0.026,8.14921E-07
0.028,8.16764E-07
0.03,8.21064E-07
0.032,8.24136E-07
0.034,8.25825E-07
0.036,8.30279E-07
0.038,8.33351E-07
0.04,8.34733E-07
0.042,8.39648E-07
0.044,8.42566E-07
0.046,8.44101E-07
0.048,8.49016E-07
0.05,8.5178E-07
0.052,8.5347E-07
0.054,8.58231E-07
0.056,8.60842E-07
0.058,8.62531E-07
0.06,8.66985E-07
0.062,8.70517E-07
0.064,8.71746E-07
0.066,8.76814E-07
0.068,8.79886E-07
0.07,8.80961E-07
0.072,8.86182E-07
0.074,8.89101E-07
0.076,8.91251E-07
0.078,8.95704E-07
0.08,8.98623E-07
0.082,9.00926E-07
0.084,9.05841E-07
0.086,9.08452E-07
0.088,9.10602E-07
0.09,9.15516E-07
0.092,9.17974E-07
0.094,9.20738E-07
0.096,9.23963E-07
0.098,9.27803E-07
0.1,9.30567E-07
0.102,9.35635E-07
0.104,9.37785E-07
0.106,9.40704E-07
0.108,9.45618E-07
0.11,9.48075E-07
0.112,9.5084E-07
0.114,9.56522E-07
0.116,9.58365E-07
0.118,9.6113E-07
0.12,9.66812E-07
0.122,9.68194E-07
0.124,9.72034E-07
0.126,9.77716E-07
0.128,9.78638E-07
0.13,9.8217E-07
0.132,9.89235E-07
0.134,9.89389E-07
0.136,9.90771E-07
0.138,9.99525E-07
0.14,1.00229E-06
0.142,1.00336E-06
0.144,1.00981E-06
0.146,1.0112E-06
0.148,1.01519E-06
0.15,1.02195E-06
0.152,1.02149E-06
0.154,1.02364E-06
0.156,1.03562E-06
0.158,1.03132E-06
0.16,1.03746E-06
0.162,1.04698E-06
0.164,1.04452E-06
0.166,1.04775E-06
0.168,1.05574E-06
0.17,1.05589E-06
0.172,1.06203E-06
0.174,1.07109E-06
0.176,1.0671E-06
0.178,1.06756E-06
0.18,1.08246E-06
0.182,1.07923E-06
0.184,1.08399E-06
0.186,1.09428E-06
0.188,1.0906E-06
0.19,1.09536E-06
0.192,1.1058E-06
